substrate,tf,alpha,source
AAC1,ASH1,0.01348,teufel
AAC1,FHL1,0.030949,teufel
AAC1,MSN2,0.059684,teufel
AAC1,SOK2,0.223687,teufel
AAD10,SOK2,0.198444,teufel
AAD10,STE12,0.183809,teufel
AAD16,PDR1,0.004184,yeastract_strict
AAD16,YAP1,0.15612,teufel
AAD4,YAP1,0.103526,teufel
AAH1,GCN4,0.131686,yeastract_strict
AAP1,GCN4,0.065117,yeastract_strict
AAP1,YAP1,0.152528,yeastract_strict
AAT2,ABF1,0.970622,teufel
AAT2,GCN4,0.659769,teufel
ABD1,GCN4,0.082983,yeastract_strict
ABF2,MCM1,2.069067,teufel
ABF2,SWI4,1.282418,teufel
ABP1,STE12,3.802802,teufel
ABP1,TYE7,2.018161,teufel
ABP140,YOX1,1.181444,teufel
ACA1,MSN2,0.522587,yeastract_strict
ACB1,ABF1,7.363148,teufel
ACB1,MSN2,4.319183,teufel
ACB1,STE12,11.671366,teufel
ACC1,INO4,9.360671,teufel
ACC1,MSN2,1.034527,teufel
ACE2,FKH2,0.560648,teufel
ACE2,INO4,0.358214,teufel
ACH1,FLO8,0.535625,teufel
ACH1,MSN2,0.521647,teufel
ACH1,SOK2,0.156736,teufel
ACM1,MBP1,0.082695,teufel
ACM1,SWI4,0.181609,teufel
ACM1,YHP1,0.070473,teufel
ACO1,CIN5,0.615748,teufel
ACO1,YAP1,2.561755,teufel
ACO2,GCN4,0.07273,teufel
ACP1,ABF1,3.374446,teufel
ACP1,MSN2,3.274328,teufel
ACS1,ABF1,0.052996,teufel
ACS1,RAP1,0.12041,teufel
ACS1,SOK2,0.091731,teufel
ACS1,STE12,0.22817,teufel
ACS2,HAP1,8.052725,teufel
ACT1,REB1,38.015196,teufel
ADA2,FHL1,0.774774,teufel
ADA2,IFH1,23.09462,teufel
ADA2,STE12,24.763127,teufel
ADA2,TEC1,3.152757,teufel
ADD37,STE12,0.521122,teufel
ADD66,GCN4,0.064241,teufel
ADE1,BAS1,0.528665,teufel
ADE1,TEC1,0.385487,teufel
ADE1,YAP1,0.978336,yeastract_strict
ADE13,BAS1,2.73417,teufel
ADE16,BAS1,1.796693,teufel
ADE16,CIN5,1.01582,teufel
ADE16,RAP1,2.118375,teufel
ADE17,BAS1,0.258179,teufel
ADE17,YAP1,0.441254,teufel
ADE2,BAS1,0.219535,teufel
ADE2,YAP1,0.255869,yeastract_strict
ADE3,GCN4,0.276611,teufel
ADE3,MET32,0.678697,teufel
ADE4,BAS1,0.578668,teufel
ADE4,PHO2,0.026347,teufel
ADE4,YRM1,2.051225,teufel
ADE5_7,BAS1,-0.313212,teufel
ADE5_7,GCN4,0.341161,teufel
ADE6,BAS1,2.002151,teufel
ADE6,MSN2,8.964933,yeastract_strict
ADE6,YRR1,5.112931,yeastract_strict
ADE8,ABF1,1.110276,teufel
ADE8,BAS1,0.969782,teufel
ADE8,RAP1,0.696929,teufel
ADH1,ABF1,31.519842,teufel
ADH1,GCR1,8.276982,teufel
ADH1,GCR2,50.628316,teufel
ADH3,ABF1,4.174357,teufel
ADH3,CRZ1,5.052081,teufel
ADH4,ABF1,0.302633,teufel
ADH4,TYE7,0.225281,teufel
ADH5,CIN5,0.437263,teufel
ADH5,GCN4,0.023406,teufel
ADH6,YAP1,4.33253,teufel
ADI1,MET32,0.408256,teufel
ADI1,MSN2,0.130832,teufel
ADI1,SOK2,0.725362,teufel
ADK1,YRR1,27.195483,yeastract_strict
ADO1,YAP1,7.505206,yeastract_strict
ADR1,FHL1,0.194621,teufel
ADR1,MSN2,0.158319,teufel
ADR1,STE12,0.231753,teufel
ADY3,YRM1,0.359799,teufel
ADY4,STE12,0.287312,teufel
ADY4,TEC1,0.090314,teufel
AEP1,GCN4,0.044805,yeastract_strict
AEP3,HSF1,0.191758,teufel
AFG1,YAP1,0.67274,teufel
AFG2,ACE2,0.42066,teufel
AFG2,BAS1,0.267023,teufel
AFG2,NRG1,1.343711,teufel
AFG3,SOK2,1.538351,teufel
AFR1,RLM1,0.542956,teufel
AFR1,STE12,0.639109,teufel
AFT1,AFT2,4.328765,teufel
AFT2,YAP1,0.111506,teufel
AGA1,MCM1,0.863949,teufel
AGA1,MOT3,0.438704,teufel
AGA1,STE12,1.396336,teufel
AGA1,SWI4,0.626355,teufel
AGA2,GCN4,0.087202,yeastract_strict
AGA2,TEC1,0.29287,teufel
AGP1,ASH1,0.051926,teufel
AGP1,DAL81,0.951875,teufel
AHA1,GCN4,0.24477,teufel
AHA1,STE12,0.188447,teufel
AHC1,RAP1,0.675374,teufel
AHC1,SOK2,0.241865,teufel
AHC2,RPN4,1.829166,teufel
AHP1,HSF1,40.820076,teufel
AHP1,YAP1,37.494533,teufel
AIF1,YAP1,0.211062,teufel
AIM10,STE12,0.568351,teufel
AIM11,MSN2,0.597153,teufel
AIM13,YRM1,1.064298,teufel
AIM14,FKH1,0.841247,yeastract_strict
AIM17,CAD1,0.257213,teufel
AIM17,MSN2,0.025213,teufel
AIM17,OAF1,0.070877,teufel
AIM17,PDR1,0.28716,teufel
AIM18,STE12,0.431802,teufel
AIM19,YAP1,0.168826,yeastract_strict
AIM2,SOK2,1.924756,teufel
AIM20,ASH1,0.09795,teufel
AIM21,SWI5,1.837184,teufel
AIM22,STE12,0.691347,teufel
AIM29,CIN5,0.474404,teufel
AIM29,MSN2,1.058995,teufel
AIM29,STE12,1.362758,teufel
AIM37,SOK2,0.626786,teufel
AIM44,ACE2,1.74913,teufel
AIM46,PUT3,2.978925,teufel
AIM7,CIN5,1.986208,teufel
AIM7,ZAP1,3.470086,teufel
AIM9,ACE2,1.528883,teufel
AIP1,RAP1,1.672544,teufel
AIR1,STE12,1.195765,teufel
AKR1,AFT1,2.468772,teufel
ALD2,STE12,0.918965,teufel
ALD3,CAD1,0.461778,teufel
ALD3,MSN2,0.034616,teufel
ALD4,PDR1,0.388294,teufel
ALD4,RAP1,1.222404,teufel
ALD5,CIN5,1.145277,teufel
ALD5,GCN4,0.104585,teufel
ALD5,PDR1,-0.306559,yeastract_strict
ALD5,PHO4,0.846159,teufel
ALD5,SOK2,0.475006,teufel
ALD5,STE12,1.040681,teufel
ALD5,YAP1,0.338573,teufel
ALD6,GCN4,2.648375,teufel
ALD6,SOK2,2.21165,teufel
ALD6,YAP1,-13.279726,teufel
ALF1,ABF1,0.010544,teufel
ALF1,RAP1,0.411644,yeastract_strict
ALF1,STE12,0.304035,teufel
ALG1,RPN4,0.96989,yeastract_strict
ALG13,RPN4,0.527036,teufel
ALG13,STE12,0.090627,teufel
ALG14,ASH1,0.110047,teufel
ALG14,CIN5,0.503546,teufel
ALG14,MBP1,0.210447,teufel
ALG3,RAP1,1.15772,teufel
ALG5,RAP1,1.126508,teufel
ALG6,CBF1,4.509705,yeastract_strict
ALK2,YAP1,0.456597,yeastract_strict
ALO1,MSN2,6.656892,teufel
ALR2,STE12,0.444866,teufel
ALT1,CIN5,3.172241,teufel
ALT2,ADR1,1.303049,teufel
ALT2,MSN2,1.548692,teufel
ALY2,TEC1,0.546858,teufel
AMN1,ACE2,1.916158,teufel
ANB1,MOT3,0.235612,teufel
ANB1,STE12,0.050695,teufel
ANP1,ABF1,1.43888,teufel
ANT1,ABF1,1.225624,teufel
APA1,HSF1,1.254165,teufel
APA2,STE12,0.729571,teufel
APC2,BAS1,0.473944,teufel
APD1,MSN2,3.335156,teufel
APE2,RAP1,0.888107,teufel
APE2,STE12,1.294545,teufel
APE2,TEC1,0.017851,teufel
APJ1,MSN2,0.433069,teufel
APL2,ABF1,1.344917,teufel
APL3,STE12,0.472076,teufel
APL3,TEC1,0.12512,teufel
