substrate,tf,alpha
AAC1,ASH1,-0.160141
AAC1,FHL1,0.000000
AAC1,MSN2,0.087543
AAC1,SOK2,-0.000383
AAC3,MSN2,-0.195016
AAC3,PHO2,0.000000
AAC3,RAP1,0.123438
AAC3,STE12,0.140756
AAD14,STE12,-0.154908
AAD15,SOK2,0.023713
AAD15,YAP1,0.000000
AAD16,MSN2,0.076900
AAD16,RPN4,0.000000
AAD16,YAP1,0.000840
AAD3,AFT1,0.000000
AAD3,PHO2,-0.142739
AAD3,RDS1,0.187828
AAD3,SOK2,-0.154120
AAD3,TEC1,-0.310270
AAD4,SOK2,-0.018578
AAD4,YAP1,0.000000
AAD6,RPN4,-0.180037
AAD6,YAP1,-0.018007
AAR2,MSS11,-0.184661
AAR2,STE12,0.101334
AAT2,ABF1,0.000000
AAT2,GCN4,-0.011977
ABF2,MCM1,-0.073042
ABF2,SWI4,0.000000
ABP1,STE12,-0.033388
ABP1,TYE7,-0.177872
ABP140,YOX1,0.073789
ACB1,ABF1,-0.156164
ACB1,MSN2,-0.325318
ACB1,STE12,-0.132157
ACC1,INO2,-0.370467
ACC1,INO4,-0.103800
ACC1,MSN2,-0.115037
ACE2,FKH2,0.069179
ACE2,INO4,-0.397733
ACH1,CAT8,0.000000
ACH1,FLO8,-0.122775
ACH1,MSN2,-0.041343
ACH1,SOK2,-0.023821
ACM1,MBP1,-0.175826
ACM1,SWI4,0.104584
ACM1,YHP1,0.000000
ACO1,CIN5,-0.063261
ACO1,DAL81,0.000000
ACO1,RAP1,0.000000
ACO1,RTG3,0.000000
ACO1,STE12,-0.044036
ACO1,TUP1,0.225301
ACO1,YAP1,0.000000
ACO2,GCN4,0.000000
ACO2,MSN2,0.000000
ACO2,RAP1,-0.161756
ACP1,ABF1,-0.089897
ACP1,MSN2,0.000000
ACS1,ABF1,-0.002144
ACS1,ADR1,0.000000
ACS1,CAT8,0.000000
ACS1,RAP1,-0.025455
ACS1,SOK2,0.063634
ACS1,STE12,0.077893
ACS1,UME6,-0.123070
ACS1,YRM1,-0.044629
ACS2,HAP1,0.445689
ACS2,PIP2,0.000000
ACT1,REB1,-0.066015
ADA2,FHL1,0.000000
ADA2,IFH1,-0.012828
ADA2,STE12,-0.138367
ADA2,TEC1,-0.024760
ADD37,STE12,-0.180044
ADE1,BAS1,-0.085567
ADE1,PHO2,-0.363927
ADE1,TEC1,-0.055512
ADE16,BAS1,-0.266412
ADE16,CIN5,0.029444
ADE16,RAP1,0.039153
ADE17,BAS1,-0.091084
ADE17,PHO2,-0.082213
ADE17,YAP1,0.000000
ADE2,AFT1,0.002614
ADE2,BAS1,-0.063144
ADE2,PHO2,0.040433
ADE3,BAS1,-0.008091
ADE3,CBF1,0.016407
ADE3,GCN4,-0.366510
ADE3,HAP5,0.000000
ADE3,MET28,0.258558
ADE3,MET31,-0.085082
ADE3,MET32,0.138337
ADE3,MET4,0.000000
ADE3,PHO2,0.000000
ADE3,RAP1,0.000000
ADE4,BAS1,-0.064086
ADE4,PHO2,-0.125531
ADE4,YRM1,0.000000
ADE5_7,BAS1,0.000000
ADE5_7,GCN4,0.206267
ADE5_7,PHO2,-0.025954
ADE5_7,RAP1,-0.095922
ADE8,ABF1,0.123807
ADE8,BAS1,-0.041284
ADE8,RAP1,-0.057269
ADH1,ABF1,0.000000
ADH1,GCR1,0.000000
ADH1,GCR2,-0.224114
ADH1,RAP1,0.000000
ADH1,SOK2,0.125886
ADH2,ADR1,-0.032645
ADH2,CAT8,0.002049
ADH2,OAF1,0.000000
ADH2,SFP1,0.000000
ADH3,ABF1,0.000000
ADH3,CBF1,0.098339
ADH3,CRZ1,-0.232744
ADH3,IXR1,-0.070496
ADH3,RAP1,-0.053771
ADH4,ABF1,-0.018701
ADH4,TYE7,0.074334
ADH4,YHP1,0.328244
ADH4,ZAP1,-0.098059
ADH5,ABF1,0.000000
ADH5,CIN5,0.141957
ADH5,GCN4,-0.084454
ADH5,GCR2,-0.017906
ADH5,TYE7,0.000000
ADI1,MET32,0.257936
ADI1,MSN2,0.052517
ADI1,SOK2,0.000000
ADR1,FHL1,0.000000
ADR1,MSN2,0.122488
ADR1,MSN4,-0.046069
ADR1,STE12,-0.040509
ADY2,ADR1,0.000000
ADY2,CAT8,0.051779
ADY2,RAP1,0.000000
ADY2,STE12,-0.009850
ADY3,STE12,-0.334397
ADY3,YRM1,0.000000
ADY4,MSN2,0.000000
ADY4,STE12,-0.162229
ADY4,TEC1,-0.082279
AEP3,HSF1,0.394086
AEP3,MSN2,-0.111912
AFG1,MSN4,0.000000
AFG1,YAP1,0.011576
AFG2,ACE2,0.000000
AFG2,BAS1,0.073267
AFG2,NRG1,0.085622
AFG3,SOK2,0.033467
AFT1,AFT2,0.063570
AFT2,YAP1,-0.250049
AGA1,MCM1,-0.152935
AGA1,MOT3,-0.150223
AGA1,ROX1,0.000000
AGA1,STE12,0.072009
AGA1,SWI4,-0.159327
AGA1,SWI6,0.000000
AGA1,TEC1,0.120231
AGA2,MSN2,-0.128894
AGA2,STE12,0.071090
AGA2,TEC1,0.023736
AGP1,ADR1,-0.036017
AGP1,ASH1,0.181527
AGP1,DAL81,0.121173
AGP1,MSN2,-0.007672
AGP1,OAF1,-0.100260
AGP1,RAP1,0.162437
AGP1,STP1,0.000000
AGP1,STP2,-0.086692
AGP1,SWI4,-0.008375
AGP1,TUP1,-0.090366
AGP1,UME6,0.000000
AGP3,RLM1,0.012700
AGP3,STE12,-0.104070
AGP3,YAP1,0.000000
AGX1,CIN5,0.394356
AGX1,MSN2,-0.034047
AGX1,STE12,-0.126608
AHA1,GCN4,-0.048170
AHA1,HSF1,0.001286
AHA1,SPT23,0.000000
AHA1,STE12,-0.109399
AHC1,RAP1,0.115755
AHC1,SOK2,0.000000
AHC2,RPN4,0.298689
AHP1,CBF1,-0.006701
AHP1,HSF1,0.438830
AHP1,MSN2,-0.036917
AHP1,MSN4,-0.191944
AHP1,SKN7,0.000000
AHP1,SKO1,-0.082239
AHP1,YAP1,0.252005
AIF1,YAP1,0.221028
AIM10,STE12,0.243373
AIM11,MSN2,0.052630
AIM13,STE12,-0.112390
AIM13,YRM1,-0.061624
AIM17,CAD1,0.259474
AIM17,MSN2,-0.160146
AIM17,OAF1,0.006703
AIM17,PDR1,0.025428
AIM19,CBF1,-0.028797
AIM2,SOK2,0.083887
AIM20,ASH1,-0.387615
AIM21,SWI5,0.115184
AIM22,STE12,-0.088095
AIM29,CIN5,0.000000
AIM29,MSN2,-0.335006
AIM29,STE12,0.094525
AIM33,YAP1,-0.084959
AIM44,ACE2,0.321559
AIM44,SWI5,0.221377
AIM46,PUT3,0.070203
AIM7,CIN5,0.175652
AIM7,ZAP1,-0.125390
AIP1,RAP1,-0.100600
AIR1,STE12,0.117541
AKR1,AFT1,0.104747
ALD2,STE12,-0.150723
ALD3,CAD1,0.514145
ALD3,MSN2,0.000000
ALD4,ADR1,0.115598
ALD4,PDR1,0.132747
ALD4,RAP1,-0.131386
ALD5,ABF1,0.113127
ALD5,ADR1,-0.083220
ALD5,CIN5,0.046528
ALD5,GCN4,0.000000
ALD5,MSN2,-0.105589
ALD5,PHO4,0.134783
ALD5,RAP1,0.000000
ALD5,SOK2,0.174999
ALD5,STE12,0.220726
ALD5,YAP1,0.000000
ALD6,ADR1,-0.086585
ALD6,GCN4,-0.045248
ALD6,MSN2,-0.039850
ALD6,SOK2,-0.199017
ALD6,STB5,0.000000
ALD6,STE12,-0.171966
ALD6,YAP1,0.000000
ALD6,YRM1,-0.212723
ALF1,ABF1,-0.101633
ALF1,STE12,-0.073933
ALG13,RPN4,-0.014749
ALG13,STE12,-0.068164
ALG14,ASH1,0.173345
ALG14,CIN5,0.060631
ALG14,MBP1,0.000000
ALG14,SWI4,0.158368
ALO1,MSN2,-0.239999
ALO1,YAP7,0.219730
ALR2,STE12,-0.204545
ALT1,CIN5,0.167517
ALT2,ADR1,0.000000
ALT2,MSN2,-0.247306
ALY2,TEC1,-0.168655
AMN1,ACE2,0.073857
AMN1,STE12,0.122616
AMN1,SWI5,0.570326
ANB1,HAP1,0.288893
ANB1,MOT3,0.000000
ANB1,MSN4,0.183877
ANB1,ROX1,-0.225010
ANB1,STE12,-0.239338
ANP1,ABF1,0.074789
ANT1,ABF1,0.008111
APA2,STE12,-0.137904
APD1,MSN2,-0.030453
APE2,RAP1,-0.110548
APE2,STE12,-0.094874
APE2,TEC1,-0.130808
API2,ABF1,0.058982
API2,RAP1,0.000000
API2,TUP1,0.000000
APJ1,MSN2,0.065058
APJ1,MSN4,0.000000
APL3,STE12,0.000000
APL3,TEC1,-0.037334
APP1,CBF1,-0.079985
APT2,ABF1,0.110949
APT2,MIG1,0.000000
APT2,MSN2,-0.255918
APT2,RAP1,-0.192299
APT2,TUP1,0.133975
AQR1,GCN4,0.132992
AQR1,MSN2,0.041180
AQR1,NRG1,0.000000
AQR1,RDS2,-0.061602
AQR1,SOK2,0.177256
AQR1,SPT23,-0.012495
AQY1,SOK2,0.000000
AQY1,STE12,-0.113910
AQY1,TEC1,0.000000
AQY2,FLO8,0.000000
AQY2,SFL1,-0.096433
AQY2,STE12,-0.108498
AQY2,TEC1,0.000000
ARC19,PDR3,0.118480
ARD1,SOK2,0.080816
ARE2,OAF3,-0.023204
ARE2,PDR3,-0.026214
ARE2,RAP1,0.153411
ARE2,TEC1,-0.150904
ARE2,YAP1,-0.028670
ARE2,YRM1,0.000000
ARF1,RAP1,0.113780
ARF2,MSN2,0.143812
ARF3,MCM1,-0.187882
ARG1,ABF1,-0.060369
ARG1,ARG80,0.000000
ARG1,ARG81,0.000000
ARG1,GCN4,0.000000
ARG1,GLN3,0.000000
ARG1,MCM1,0.000000
ARG1,SKN7,0.000000
ARG1,STP1,-0.071327
ARG1,TEC1,0.133130
ARG1,YAP5,-0.120478
ARG2,GCN4,0.077553
ARG3,ARG80,-0.006605
ARG3,ARG81,0.000000
ARG3,ASH1,0.061696
ARG3,GCN4,0.000000
ARG3,GLN3,0.000000
ARG3,RAP1,0.193606
ARG3,RFX1,-0.069661
ARG3,STE12,0.000000
ARG4,GCN4,-0.050527
ARG4,GLN3,0.000000
ARG4,INO2,0.000000
ARG4,RTG3,0.000000
ARG4,YAP1,0.008221
ARG4,YAP5,0.000000
ARG5_6,ARG80,0.098588
ARG5_6,ARG81,-0.091308
ARG5_6,GCN4,-0.015931
ARG5_6,LEU3,0.045910
ARG5_6,SOK2,-0.058839
ARG5_6,YAP1,-0.250301
ARG7,ABF1,-0.018922
ARG7,GCN4,-0.012336
ARG8,ARG80,0.090324
ARG8,ARG81,0.097346
ARG8,DAL82,0.083545
ARG8,GCN4,0.000000
ARG80,MSN2,0.000000
ARG80,OAF1,0.000000
ARG80,TEC1,-0.073425
ARI1,CIN5,0.238959
ARI1,SOK2,0.048363
ARI1,YOX1,0.000000
ARN1,AFT1,0.389554
ARN1,BAS1,-0.071115
ARN1,FLO8,0.165556
ARN1,MSN4,-0.167691
ARN1,YHP1,-0.158574
ARN2,AFT1,0.479191
ARN2,MSN4,-0.048246
ARO1,GCN4,0.000000
ARO1,HSF1,-0.284199
ARO1,MSN2,0.019697
ARO1,RPN4,0.000000
ARO10,ARO80,0.126016
ARO10,MSN2,0.000000
ARO10,STE12,-0.262067
ARO2,GCN4,0.050161
ARO2,MSN2,-0.174271
ARO2,PHO4,0.031906
ARO3,ABF1,0.014138
ARO3,GCN4,-0.070709
ARO3,UME6,0.110225
ARO4,CBF1,0.175048
ARO4,GCN4,0.077963
ARO4,SOK2,0.078223
ARO7,DIG1,-0.018666
ARO7,HAP4,0.093594
ARO7,SOK2,0.000000
ARO9,ABF1,-0.129989
ARO9,ARO80,0.000000
ARO9,MCM1,0.000000
ARO9,MOT3,0.070857
ARO9,MSN2,0.052128
ARO9,PHO4,-0.032748
ARO9,STE12,-0.330049
ARO9,UME6,0.000000
ARO9,YAP1,0.064805
ARR2,ARR1,0.188204
ARR2,YAP1,0.128400
ARR3,ARR1,-0.030629
ARR3,YAP1,-0.221294
ASC1,FHL1,0.378151
ASC1,IFH1,0.000000
ASC1,RAP1,0.153413
ASE1,ABF1,0.223252
ASE1,MCM1,0.068276
ASE1,XBP1,-0.257671
ASE1,YAP1,0.000000
ASF1,CBF1,0.029269
ASF1,MSN2,-0.160998
ASF1,RAP1,0.000000
ASF1,YHP1,-0.275515
ASF2,GCN4,-0.142223
ASG7,STE12,0.000000
ASG7,YAP5,-0.195564
ASH1,ACE2,0.198828
ASH1,MBP1,-0.077710
ASH1,SOK2,-0.011399
ASH1,SWI5,0.447469
ASK1,CIN5,0.000000
ASK1,OAF1,0.042685
ASK1,OAF3,0.000000
ASK10,RAP1,-0.196902
ASM4,STE12,0.009359
ASN1,GCN4,0.134666
ASN1,HAP2,0.000000
ASN2,ACE2,0.092815
ASN2,GCN4,-0.013174
ASP1,ABF1,0.138915
ASR1,RAP1,-0.309379
ASR1,STE12,-0.180760
ATF1,CBF1,0.000000
ATF1,RAP1,0.078597
ATF1,RFX1,0.000000
ATF1,SPT23,0.000000
ATF1,SWI4,0.012446
ATF2,FHL1,0.429146
ATF2,SOK2,0.032119
ATG1,GCN4,-0.017721
ATG1,MSN2,0.000000
ATG1,RPN4,0.039116
ATG11,SOK2,-0.021042
ATG11,STE12,-0.309985
ATG13,GCN4,-0.061026
ATG15,MSN2,0.000000
ATG15,RAP1,0.079604
ATG15,STE12,0.000000
ATG19,HSF1,0.073818
ATG19,OAF1,0.001999
ATG19,RPN4,0.000000
ATG19,SPT23,0.000000
ATG19,STE12,-0.198826
ATG22,YRM1,0.068717
ATG26,RAP1,0.315768
ATG27,GAT3,-0.081387
ATG33,ABF1,-0.297231
ATG33,GCN4,0.000000
ATG33,MSN2,-0.264553
ATG34,OAF1,0.000000
ATG34,PDR3,0.038239
ATG34,STE12,0.000000
ATG8,UME6,0.005449
ATH1,AFT1,0.000000
ATH1,GCN4,0.000000
ATH1,STE12,-0.046835
ATM1,CBF1,-0.030967
ATO2,STE12,-0.059984
ATO3,ABF1,0.029868
ATO3,ADR1,-0.293075
ATO3,CAT8,0.000000
ATO3,SOK2,0.157958
ATO3,STE12,0.000000
ATP14,HAP2,0.000000
ATP14,HAP4,0.370504
ATP14,SOK2,0.084861
ATP15,HAP2,-0.161645
ATP15,HAP4,0.528215
ATP16,CIN5,0.000000
ATP16,HAP4,0.226248
ATP16,MBP1,0.000000
ATP16,PHO4,0.154707
ATP17,ARO80,-0.031999
ATP17,HAP4,0.177570
ATP2,HAP2,-0.214596
ATP2,HAP4,0.163189
ATP2,RDS2,0.000000
ATP20,HAP2,-0.052864
ATP20,HAP4,0.496872
ATP25,BAS1,0.000000
ATP25,STE12,-0.185727
ATP3,HAP4,0.076676
ATP3,HAP5,-0.045583
ATP5,HAP4,0.191033
ATP7,CBF1,0.124799
ATP7,GCN4,0.181908
ATP7,HAP4,0.337464
ATP7,RAP1,0.000000
ATP7,RPN4,0.002659
ATR1,CIN5,0.000000
ATR1,FHL1,-0.001490
ATR1,GCN4,0.143621
ATR1,MSN2,0.000000
ATR1,MSN4,0.000000
ATR1,PHD1,0.103886
ATR1,PUT3,0.067059
ATR1,RIM101,0.000000
ATR1,YAP1,0.000000
ATX1,AFT2,0.000000
ATX1,CBF1,0.142977
ATX1,PUT3,0.292162
AVL9,STE12,-0.009607
AVL9,UME6,-0.028310
AVT4,RAP1,0.041692
AVT6,RAP1,-0.068439
AVT6,STE12,0.000788
AVT7,YRM1,0.055670
AXL2,MSS11,0.000000
AXL2,STE12,0.105984
AXL2,TEC1,0.178967
AXL2,YOX1,0.402684
AZR1,YAP1,-0.040712
BAP2,DAL81,0.000000
BAP2,GCN4,0.000000
BAP2,MSN2,-0.019619
BAP2,RAP1,0.233085
BAP2,SFP1,0.024822
BAP2,SOK2,-0.164547
BAP2,STP1,-0.056976
