tf,substrate,alpha,abs_alpha,n_independent_sources,in_teufel,in_yeastract_ito,in_yeastract2019,in_macisaac_chip,in_inferelator_gold,in_snap,in_curated,sign_sources_n,sign_sources_agree
ASH1,AAC1,0.01348,0.01348,0,1,0,0,0,0,0,0,0,0
FHL1,AAC1,0.030949,0.030949,1,1,0,1,0,0,0,0,0,0
MSN2,AAC1,0.059684,0.059684,1,1,0,1,0,0,0,0,0,0
SOK2,AAC1,0.223687,0.223687,2,1,0,1,1,0,0,0,0,0
SOK2,AAD10,0.198444,0.198444,1,1,0,1,0,0,0,0,0,0
STE12,AAD10,0.183809,0.183809,1,1,0,1,0,0,0,0,0,0
YAP1,AAD16,0.158188,0.158188,2,1,1,1,0,0,0,0,0,0
YAP1,AAD4,0.103526,0.103526,1,1,0,1,0,0,0,0,0,0
ABF1,AAT2,0.970622,0.970622,1,1,1,0,0,0,0,0,1,1
GCN4,AAT2,0.659769,0.659769,2,1,1,1,0,0,0,0,1,1
MCM1,ABF2,2.069067,2.069067,2,1,1,1,0,0,0,0,1,0
SWI4,ABF2,1.282418,1.282418,2,1,1,1,0,0,0,0,1,1
STE12,ABP1,3.802802,3.802802,2,1,1,1,0,0,0,0,1,0
TYE7,ABP1,2.018161,2.018161,3,1,1,1,1,0,0,0,1,1
YOX1,ABP140,1.181444,1.181444,0,1,0,0,0,0,0,0,0,0
ABF1,ACB1,7.363148,7.363148,0,1,0,0,0,0,0,0,0,0
MSN2,ACB1,4.319183,4.319183,1,1,0,1,0,0,0,0,0,0
STE12,ACB1,11.671366,11.671366,1,1,0,1,0,0,0,0,0,0
INO4,ACC1,9.360671,9.360671,3,1,1,1,1,0,0,0,1,1
MSN2,ACC1,1.034527,1.034527,2,1,1,1,0,0,0,0,1,0
FKH2,ACE2,0.560648,0.560648,3,1,1,1,0,0,0,1,2,2
INO4,ACE2,0.358214,0.358214,2,1,1,1,0,0,0,0,1,0
FLO8,ACH1,0.535625,0.535625,2,1,1,1,0,0,0,0,1,1
MSN2,ACH1,0.521647,0.521647,2,1,1,1,0,0,0,0,0,0
SOK2,ACH1,0.156736,0.156736,1,1,0,1,0,0,0,0,0,0
MBP1,ACM1,0.082695,0.082695,3,1,1,1,1,0,0,0,1,0
SWI4,ACM1,0.181609,0.181609,3,1,1,1,1,0,0,0,1,1
YHP1,ACM1,0.070473,0.070473,0,1,0,0,0,0,0,0,0,0
CIN5,ACO1,0.615748,0.615748,2,1,1,1,0,0,0,0,1,1
YAP1,ACO1,2.561755,2.561755,1,1,1,0,0,0,0,0,1,1
GCN4,ACO2,0.07273,0.07273,2,1,1,1,0,0,0,0,1,1
ABF1,ACP1,3.374446,3.374446,1,1,1,0,0,0,0,0,1,1
MSN2,ACP1,3.274328,3.274328,1,1,0,1,0,0,0,0,0,0
ABF1,ACS1,0.052996,0.052996,3,1,1,1,1,0,0,0,0,0
RAP1,ACS1,0.12041,0.12041,2,1,1,1,0,0,0,0,1,1
SOK2,ACS1,0.091731,0.091731,1,1,0,1,0,0,0,0,0,0
STE12,ACS1,0.22817,0.22817,1,1,0,0,0,1,0,0,1,0
HAP1,ACS2,8.052725,8.052725,3,1,1,1,1,0,0,0,1,1
REB1,ACT1,38.015196,38.015196,2,1,1,1,0,0,0,0,1,1
FHL1,ADA2,0.774774,0.774774,2,1,0,1,1,0,0,0,0,0
