substrate,tf,alpha
AAC1,ASH1,0.013480
AAC1,FHL1,0.030949
AAC1,MSN2,0.059684
AAC1,SOK2,0.223687
AAD10,SOK2,0.198444
AAD10,STE12,0.183809
AAD16,YAP1,0.158188
AAD4,YAP1,0.103526
AAT2,ABF1,0.970622
AAT2,GCN4,0.659769
ABF2,MCM1,2.069067
ABF2,SWI4,1.282418
ABP1,STE12,3.802802
ABP1,TYE7,2.018161
ABP140,YOX1,1.181444
ACB1,ABF1,7.363148
ACB1,MSN2,4.319183
ACB1,STE12,11.671366
ACC1,INO4,9.360671
ACC1,MSN2,1.034527
ACE2,FKH2,0.560648
ACE2,INO4,0.358214
ACH1,FLO8,0.535625
ACH1,MSN2,0.521647
ACH1,SOK2,0.156736
ACM1,MBP1,0.082695
ACM1,SWI4,0.181609
ACM1,YHP1,0.070473
ACO1,CIN5,0.615748
ACO1,YAP1,2.561755
ACO2,GCN4,0.072730
ACP1,ABF1,3.374446
ACP1,MSN2,3.274328
ACS1,ABF1,0.052996
ACS1,RAP1,0.120410
ACS1,SOK2,0.091731
ACS1,STE12,0.228170
ACS2,HAP1,8.052725
ACT1,REB1,38.015196
ADA2,FHL1,0.774774
ADA2,IFH1,23.094620
ADA2,STE12,24.763127
ADA2,TEC1,3.152757
ADD37,STE12,0.521122
ADD66,GCN4,0.064241
ADE1,BAS1,3.579978
ADE1,PHO2,0.764238
ADE1,TEC1,0.831515
ADE13,BAS1,2.734170
ADE16,BAS1,1.796693
ADE16,CIN5,1.015820
ADE16,RAP1,2.118375
ADE17,BAS1,0.258179
ADE17,YAP1,0.441254
ADE2,AFT1,0.605489
ADE3,GCN4,0.276611
ADE3,MET32,0.678697
ADE4,BAS1,0.578668
ADE4,PHO2,0.026347
ADE4,YRM1,2.051225
ADE5_7,BAS1,-0.313212
ADE5_7,GCN4,0.341161
ADE6,BAS1,10.830657
ADE8,ABF1,1.110276
ADE8,BAS1,0.969782
ADE8,RAP1,0.696929
ADH1,ABF1,31.519842
ADH1,GCR1,8.276982
ADH1,GCR2,50.628316
ADH3,ABF1,4.174357
ADH3,CRZ1,5.052081
ADH4,ABF1,0.302633
ADH4,TYE7,0.225281
ADH5,CIN5,0.437263
ADH5,GCN4,0.023406
ADH6,YAP1,4.332530
ADI1,MET32,0.408256
ADI1,MSN2,0.130832
ADI1,SOK2,0.725362
ADR1,FHL1,0.194621
ADR1,MSN2,0.158319
ADR1,STE12,0.231753
ADY3,YRM1,0.359799
ADY4,STE12,0.287312
ADY4,TEC1,0.090314
AEP3,HSF1,0.191758
AFG1,YAP1,0.672740
AFG2,ACE2,0.420660
AFG2,BAS1,0.267023
AFG2,NRG1,1.343711
AFG3,SOK2,1.538351
AFR1,RLM1,0.542956
AFR1,STE12,0.639109
AFT1,AFT2,4.328765
AFT2,YAP1,0.111506
AGA1,MCM1,0.863949
AGA1,MOT3,0.438704
AGA1,STE12,1.396336
AGA1,SWI4,0.626355
AGA2,STE12,1.808205
AGA2,TEC1,0.506118
AGP1,ASH1,0.051926
AGP1,DAL81,0.951875
AHA1,GCN4,0.244770
AHA1,STE12,0.188447
AHC1,RAP1,0.675374
AHC1,SOK2,0.241865
AHC2,RPN4,1.829166
AHP1,HSF1,40.820076
AHP1,YAP1,37.494533
AIF1,YAP1,0.211062
AIM10,STE12,0.568351
AIM11,MSN2,0.597153
AIM13,YRM1,1.064298
AIM17,CAD1,0.257213
AIM17,MSN2,0.025213
AIM17,OAF1,0.070877
AIM17,PDR1,0.287160
AIM18,STE12,0.431802
AIM19,CBF1,1.229887
AIM2,SOK2,1.924756
AIM20,ASH1,0.097950
AIM21,SWI5,1.837184
AIM22,STE12,0.691347
AIM29,CIN5,0.474404
AIM29,MSN2,1.058995
AIM29,STE12,1.362758
AIM37,SOK2,0.626786
AIM44,ACE2,1.749130
AIM46,PUT3,2.978925
AIM7,CIN5,1.986208
AIM7,ZAP1,3.470086
