substrate,n_tf,n_activators,n_repressors,sum_alpha,sum_abs_alpha,baseline_ratio_signed_over_abs,flag_has_repressor,flag_net_negative,flag_near_zero,min_mult_signed,min_mult_absdev,ever_negative_signed
AAC1,4,4,0,0.3278,0.3278,1.0,0,0,0,0.6656,0.6656,0
AAD10,2,2,0,0.382253,0.382253,1.0,0,0,0,0.5825,0.5825,0
AAD16,1,1,0,0.158188,0.158188,1.0,0,0,0,0.7218,0.7218,0
AAD4,1,1,0,0.103526,0.103526,1.0,0,0,0,0.7218,0.7218,0
AAT2,2,2,0,1.630391,1.630391,1.0,0,0,0,0.7232,0.7232,0
ABF2,2,2,0,3.351485,3.351485,1.0,0,0,0,0.4231,0.4231,0
ABP1,2,2,0,5.820963,5.820963,1.0,0,0,0,0.7371,0.7371,0
ABP140,1,1,0,1.181444,1.181444,1.0,0,0,0,0.3041,0.3041,0
ACB1,3,3,0,23.353697,23.353697,1.0,0,0,0,0.648,0.648,0
ACC1,2,2,0,10.395198,10.395198,1.0,0,0,0,0.6077,0.6077,0
ACE2,2,2,0,0.918862,0.918862,1.0,0,0,0,0.709,0.709,0
ACH1,3,3,0,1.214008,1.214008,1.0,0,0,0,0.667,0.667,0
ACM1,3,3,0,0.334777,0.334777,1.0,0,0,0,0.5599,0.5599,0
ACO1,2,2,0,3.177503,3.177503,1.0,0,0,0,0.6951,0.6951,0
ACO2,1,1,0,0.07273,0.07273,1.0,0,0,0,0.8261,0.8261,0
ACP1,2,2,0,6.648774,6.648774,1.0,0,0,0,0.5957,0.5957,0
ACS1,4,4,0,0.493307,0.493307,1.0,0,0,0,0.7397,0.7397,0
ACS2,1,1,0,8.052725,8.052725,1.0,0,0,0,0.5294,0.5294,0
ACT1,1,1,0,38.015196,38.015196,1.0,0,0,0,0.4134,0.4134,0
ADA2,4,4,0,51.785278,51.785278,1.0,0,0,0,0.6501,0.6501,0
ADD37,1,1,0,0.521122,0.521122,1.0,0,0,0,0.5853,0.5853,0
ADD66,1,1,0,0.064241,0.064241,1.0,0,0,0,0.8261,0.8261,0
