substrate,tf,alpha,sources
AAC1,ASH1,0.008062,teufel
AAC1,HAP1,0.125318,macisaac_chip
AAC1,MSN2,0.133232,teufel
AAC1,SOK2,0.171868,teufel|macisaac_chip
AAD10,SOK2,0.198444,teufel
AAD10,STE12,0.183809,teufel
AAD16,PDR1,0.004184,yeastract_strict
AAD16,YAP1,0.15612,teufel|yeastract_strict
AAD4,YAP1,0.103526,teufel
AAH1,GCN4,0.131686,yeastract_strict
AAP1,GCN4,0.065117,yeastract_strict
AAP1,YAP1,0.152528,yeastract_strict
AAT2,ABF1,0.970622,teufel
AAT2,GCN4,0.659769,teufel
ABD1,GCN4,0.082983,yeastract_strict
ABF2,MCM1,2.069067,teufel|yeastract_strict
ABF2,SWI4,1.282418,teufel
ABP1,CBF1,1.107416,macisaac_chip
ABP1,STE12,3.563258,teufel|yeastract_strict
ABP1,TYE7,1.840733,teufel|macisaac_chip
ABP140,YOX1,1.181444,teufel
ACA1,CIN5,0.131379,macisaac_chip
ACA1,DAL82,0.300988,macisaac_chip
ACA1,PHO2,0.007616,macisaac_chip
ACA1,SOK2,0.13529,macisaac_chip
ACB1,ABF1,7.363148,teufel
ACB1,MSN2,4.319183,teufel
ACB1,STE12,11.671366,teufel
ACC1,ASH1,1.108826,inferelator_gold
ACC1,INO4,7.758365,teufel|macisaac_chip
ACE2,FKH2,0.656584,teufel|curated
ACE2,INO4,0.126115,teufel|yeastract_strict
ACE2,MCM1,0.256875,curated
ACH1,FLO8,0.414638,teufel
ACH1,MBP1,0.01557,inferelator_gold
ACH1,MSN2,0.170463,teufel|yeastract_strict
ACH1,SOK2,0.224062,teufel
ACH1,UME6,0.194382,macisaac_chip
ACM1,MBP1,0.082695,teufel|yeastract_strict|macisaac_chip
ACM1,SWI4,0.181609,teufel|macisaac_chip
ACM1,YHP1,0.070473,teufel
ACO1,CAD1,0.298525,inferelator_gold
ACO1,CIN5,0.547842,teufel
ACO1,YAP1,2.529297,teufel
ACO2,GCN4,0.07273,teufel
ACP1,ABF1,3.374446,teufel
ACP1,MSN2,3.274328,teufel
ACS1,ABF1,0.023194,teufel|yeastract_strict|macisaac_chip
ACS1,HSF1,0.021991,inferelator_gold
ACS1,RAP1,0.070345,teufel
ACS1,SOK2,0.145131,teufel
ACS1,YOX1,0.11912,inferelator_gold
ACS2,HAP1,2.511845,teufel|macisaac_chip
ACS2,SUT1,6.849237,macisaac_chip
ACT1,REB1,25.649304,teufel
ACT1,STE12,4.786244,macisaac_chip
ACT1,TEC1,13.412318,macisaac_chip
ADA2,FHL1,0.774774,teufel|macisaac_chip
ADA2,IFH1,23.09462,teufel
ADA2,STE12,24.763127,teufel
ADA2,TEC1,3.152757,teufel
ADD37,FKH2,0.066459,macisaac_chip
ADD37,STE12,0.392938,teufel
ADD66,GCN4,0.064241,teufel
ADE1,AFT1,0.756736,inferelator_gold
ADE1,TEC1,0.351305,teufel|macisaac_chip
ADE1,YAP1,0.743818,yeastract_strict
ADE12,CBF1,8.769942,macisaac_chip
ADE13,BAS1,1.538675,teufel|macisaac_chip
ADE13,CHA4,0.899826,inferelator_gold
ADE16,BAS1,1.47627,teufel|yeastract_strict
ADE16,CHA4,0.586498,inferelator_gold
ADE16,CIN5,0.891045,teufel
ADE16,RAP1,2.011563,teufel
ADE17,BAS1,0.258179,teufel|macisaac_chip
ADE17,YAP1,0.441254,teufel
ADE2,BAS1,0.219535,teufel|yeastract_strict|macisaac_chip
ADE2,YAP1,0.255869,yeastract_strict
ADE3,AFT1,0.994813,inferelator_gold
ADE3,GCN4,0.188233,teufel|macisaac_chip
ADE3,MET32,1.020817,teufel
ADE4,AFT1,0.436034,inferelator_gold
ADE4,BAS1,0.026615,teufel|yeastract_strict|macisaac_chip
ADE4,YRM1,1.734679,teufel
ADE5_7,BAS1,-0.313212,teufel|macisaac_chip
ADE5_7,GCN4,0.341161,teufel
ADE6,BAS1,1.23844,teufel|macisaac_chip
ADE6,CHA4,5.652012,inferelator_gold
ADE6,YRR1,1.756057,yeastract_strict
ADE8,ABF1,0.974871,teufel
ADE8,BAS1,1.004525,teufel|yeastract_strict|macisaac_chip
ADE8,CHA4,0.249705,inferelator_gold
ADE8,RAP1,0.561359,teufel
ADH1,ABF1,31.519842,teufel
ADH1,GCR1,8.276982,teufel|yeastract_strict
ADH1,GCR2,50.628316,teufel|macisaac_chip|inferelator_gold
ADH3,ABF1,2.053433,teufel
ADH3,CIN5,7.043464,macisaac_chip
ADH3,CRZ1,2.350682,teufel
ADH3,RAP1,1.373889,teufel
ADH4,INO4,0.348916,inferelator_gold
ADH4,TYE7,0.290477,teufel|macisaac_chip
ADH5,CIN5,0.437263,teufel
ADH5,GCN4,0.023406,teufel
ADH6,YAP1,4.33253,teufel
ADI1,MET32,0.408256,teufel
ADI1,MSN2,0.130832,teufel
ADI1,SOK2,0.725362,teufel
ADK1,YRR1,27.195483,yeastract_strict
ADO1,INO4,11.727398,macisaac_chip
ADO1,YAP1,3.735912,yeastract_strict|macisaac_chip
ADP1,MSN2,1.768036,macisaac_chip
ADP1,TYE7,1.733777,macisaac_chip
ADR1,FHL1,0.194621,teufel
ADR1,MSN2,0.158319,teufel
ADR1,STE12,0.231753,teufel
ADY3,YRM1,0.359799,teufel
ADY4,STE12,0.287312,teufel|yeastract_strict
ADY4,TEC1,0.090314,teufel
AEP1,GCN4,0.044805,yeastract_strict
AEP3,HSF1,0.191758,teufel
AFG1,CIN5,0.200597,macisaac_chip
AFG1,YAP1,0.654758,teufel
AFG2,ACE2,0.42066,teufel
AFG2,BAS1,0.267023,teufel
AFG2,NRG1,1.343711,teufel
AFG3,SOK2,1.538351,teufel
AFR1,DIG1,0.644981,macisaac_chip
AFR1,MAC1,1.114827,inferelator_gold
AFR1,STE12,0.021826,teufel|macisaac_chip
AFT1,AFT2,4.328765,teufel|macisaac_chip
AFT2,YAP1,0.111506,teufel|yeastract_strict|macisaac_chip
AGA1,MCM1,0.863949,teufel
AGA1,MOT3,0.438704,teufel
AGA1,STE12,1.396336,teufel|yeastract_strict|macisaac_chip
AGA1,SWI4,0.626355,teufel
AGA2,GCN4,0.087202,yeastract_strict
AGA2,TEC1,0.29287,teufel|yeastract_strict
AGE1,ACE2,0.035885,macisaac_chip
AGE1,ASH1,0.006845,macisaac_chip
AGE1,MBP1,0.15159,macisaac_chip
AGE1,PHD1,0.044526,macisaac_chip
AGP1,ASH1,0.099578,teufel
AGP1,DAL81,0.332584,teufel
AGP1,MBP1,0.174838,inferelator_gold
AHA1,GCN4,0.270209,teufel|yeastract_strict
AHA1,MCM1,-0.505832,inferelator_gold
AHA1,STE12,0.069885,teufel
AHC1,RAP1,0.675374,teufel|yeastract_strict
AHC1,SOK2,0.241865,teufel
AHC2,RPN4,1.829166,teufel|yeastract_strict
AHP1,HSF1,41.908766,teufel
AHP1,MCM1,25.89284,inferelator_gold
AHP1,YAP1,29.543816,teufel|yeastract_strict
AIF1,YAP1,0.211062,teufel
AIM10,STE12,0.568351,teufel
AIM11,MSN2,0.597153,teufel
AIM13,YRM1,1.064298,teufel
AIM14,REB1,0.657633,macisaac_chip
AIM17,CAD1,0.264511,teufel
AIM17,MBP1,0.043376,inferelator_gold
AIM17,MSN2,0.083375,teufel
AIM17,PDR1,0.212875,teufel|yeastract_strict
AIM18,STE12,0.431802,teufel
AIM19,YAP1,0.168826,yeastract_strict
AIM2,SOK2,1.924756,teufel
AIM20,ASH1,0.09795,teufel
AIM21,SWI5,1.837184,teufel
AIM22,STE12,0.691347,teufel
AIM29,CIN5,0.474404,teufel
AIM29,MSN2,1.058995,teufel
AIM29,STE12,1.362758,teufel
AIM37,ADR1,0.046517,macisaac_chip
AIM37,SOK2,0.610283,teufel
AIM38,ACE2,0.553183,macisaac_chip
