substrate,n_reg,r_joint
NDL1,1,0.905966
RRB1,1,0.726341
ECM33,4,0.710964
BNS1,3,0.706853
RTT107,2,0.692657
YLR050C,1,0.691655
IDH1,2,0.688488
ROM1,1,0.683206
GAT2,6,0.678064
SGO1,1,0.676898
POC4,1,0.676786
MFA1,3,0.673456
DOS2,1,0.662381
FMP43,7,0.656095
YVH1,1,0.645875
IDH2,3,0.628737
PMP3,2,0.625203
MOD5,1,0.611876
OSM1,1,0.604443
RRT14,1,0.595582
CLN2,4,0.585013
ZPR1,3,0.578170
DIP5,8,0.565862
FTR1,8,0.562823
YOR342C,3,0.529395
DUS3,3,0.520430
TPO1,3,0.515615
PKH2,1,0.511056
BRX1,2,0.508991
PCL7,1,0.504790
KAR3,1,0.504415
PYC1,2,0.501759
LPX1,4,0.501305
AHP1,5,0.500518
KIC1,1,0.491247
RGA2,2,0.489919
MRM2,2,0.489562
ZRG8,3,0.483045
SCS2,1,0.482839
TPO4,5,0.480454
MDG1,1,0.478279
DIF1,3,0.478199
HSL7,1,0.477562
NTA1,1,0.473609
GCY1,3,0.472319
TOS2,3,0.467918
SWM1,1,0.460966
YDR089W,1,0.460853
SFG1,12,0.456765
PAM16,1,0.443131
NOP13,1,0.440912
LRP1,2,0.438004
YGR153W,1,0.428848
LEU3,2,0.428572
AQR1,5,0.427754
UGP1,4,0.425933
YPS3,3,0.421507
TMA46,1,0.419644
ZDS2,2,0.418231
PMT2,1,0.416708
PRB1,4,0.413357
PCL1,6,0.412786
STR3,9,0.411275
BUD20,3,0.406227
DSF2,1,0.398030
YHB1,11,0.394931
YGP1,8,0.394107
OPY2,1,0.393054
NOP7,1,0.387964
YLR040C,1,0.385751
HTB2,3,0.384004
TSL1,6,0.381154
LYS1,3,0.380103
YOR052C,1,0.379698
HRB1,1,0.376433
APJ1,2,0.376378
MRPL8,1,0.367206
TAX4,2,0.366567
GCR1,2,0.358522
KTR2,3,0.356975
GLN1,4,0.355758
YLR287C,1,0.355207
SAM3,5,0.352072
CPR4,1,0.351921
MET13,4,0.350686
SOF1,1,0.346185
PRI2,2,0.345361
DAL81,1,0.342730
LAG2,2,0.342621
HAS1,1,0.336927
RCO1,1,0.334371
LTV1,1,0.333218
MUP1,8,0.332262
UTP23,1,0.330330
CMK2,1,0.326628
MUP3,7,0.324534
AIM37,1,0.323313
DBP9,2,0.316405
UBX6,8,0.312785
PRX1,3,0.306968
FIR1,1,0.306445
YBR241C,2,0.305850
GIC1,1,0.305848
DSS1,1,0.305316
AGA1,5,0.304488
NRG2,2,0.301341
ADE2,2,0.301206
EMI2,4,0.300958
FMP40,2,0.299021
MCM2,2,0.297811
GPA1,3,0.294441
MRC1,1,0.293423
CIC1,1,0.292575
YML119W,1,0.291070
OCA6,1,0.289073
YML108W,1,0.277042
SRL3,3,0.275274
NOG1,1,0.272874
VHR1,4,0.271419
PET10,1,0.269506
DRE2,1,0.265793
YGR035C,4,0.265656
DBF2,1,0.263972
AVT1,1,0.263941
URN1,1,0.260292
KAR4,2,0.259902
YJL218W,1,0.254034
REV1,1,0.253225
TIR1,4,0.252371
BBP1,1,0.251257
NOP14,2,0.248343
ALY2,1,0.248251
NUD1,1,0.248168
PRY2,4,0.247664
HSL1,4,0.247649
PRP22,1,0.245235
HST3,1,0.243766
SHO1,1,0.243355
GRE3,3,0.242258
PMI40,1,0.241601
FKH2,1,0.240166
SWE1,2,0.239289
HXT1,1,0.235205
PSA1,4,0.235205
TRS20,1,0.234434
CRH1,7,0.233843
RFU1,1,0.231413
CLN1,5,0.230660
DUG3,2,0.229962
YLF2,1,0.229106
YGR210C,2,0.228034
BAP2,7,0.227382
PRP5,2,0.225925
SFH5,2,0.221849
ALR2,1,0.219422
FAL1,1,0.218754
AIR1,1,0.218702
SST2,2,0.218568
CIT2,1,0.218267
ALD6,5,0.216719
TFC1,1,0.214896
SED1,13,0.211701
PGM1,2,0.211234
PRM4,2,0.211179
NET1,2,0.208875
NUP2,1,0.206789
MET28,6,0.205095
GAS3,2,0.204226
CIK1,3,0.201788
SVS1,6,0.199950
SMC3,1,0.197382
CSI2,4,0.193711
TRS31,1,0.191912
TRM2,2,0.191532
SVL3,1,0.190413
BAT2,8,0.190237
HLR1,1,0.188184
NRP1,1,0.187050
AFT2,1,0.185933
FLC1,3,0.185460
YER130C,1,0.185373
BUB2,1,0.184005
MET5,7,0.183837
UTP20,5,0.181923
CAR1,8,0.174391
HPF1,4,0.173638
GDA1,1,0.172989
IAH1,1,0.172819
AEP3,2,0.170010
YRO2,6,0.169520
MYO1,1,0.167289
SWI6,1,0.164745
MMP1,2,0.163316
TID3,1,0.162619
YBL029W,5,0.161908
HEM13,3,0.161015
COX11,2,0.160960
ACS1,6,0.159067
PET123,1,0.158449
RVB1,1,0.158366
TEC1,3,0.157996
UTR2,7,0.156420
YTM1,2,0.155835
LYS9,1,0.155821
TPO3,4,0.153295
ECM1,2,0.149630
KIP1,1,0.145870
SNT1,1,0.143514
RAD2,1,0.143149
CIN5,5,0.136005
ECM30,1,0.135329
VTI1,1,0.131491
RMT2,1,0.131016
YJR003C,1,0.130783
NCE102,2,0.127583
PIC2,3,0.126973
ERP2,2,0.126476
MPD1,1,0.124283
TDH1,2,0.122896
ECM25,1,0.122464
SCC2,1,0.121486
ALD4,3,0.121482
YMR181C,1,0.119659
CBF2,2,0.116765
NOB1,1,0.116068
YHR097C,3,0.114172
MRPL44,1,0.114110
FIT2,5,0.113831
RSM10,2,0.113109
YDR391C,1,0.111403
PDR5,6,0.108948
POL30,1,0.108538
ASM4,1,0.106513
CPR6,1,0.104573
TOS1,3,0.100029
UTP10,1,0.094649
WSC2,3,0.093600
NAF1,1,0.093149
YNL046W,1,0.093108
CYC7,2,0.090101
ANP1,1,0.089566
MET6,8,0.089397
ARN1,4,0.087796
HRP1,1,0.086952
FIT3,3,0.082821
FUN26,2,0.081550
PAP2,1,0.080271
PHO4,4,0.079465
SCS3,2,0.079164
ATP7,4,0.078169
GTT1,1,0.077152
CSR1,3,0.076919
GIC2,6,0.074876
ZRT1,5,0.072652
GLC3,2,0.070564
VMS1,1,0.069276
ATP25,2,0.069064
HPA3,1,0.066374
AHC2,1,0.065272
YAT1,2,0.065018
CDC14,1,0.064556
TBS1,2,0.063868
REB1,3,0.063005
KAR5,2,0.062274
MET14,5,0.060593
UTP25,3,0.060377
MRPL13,1,0.058211
RPN8,1,0.055490
BUD3,1,0.053168
PCL2,3,0.052568
AIF1,1,0.051534
RPN11,2,0.049901
GTT3,2,0.047092
SWI4,5,0.041341
MIC17,1,0.040123
KIN4,1,0.038963
SGT1,1,0.032071
YBR056W,2,0.029546
MAK16,2,0.028031
YDL124W,2,0.025671
STE2,2,0.024389
IZH2,1,0.023494
YPS1,2,0.022675
YFR039C,1,0.020186
MAS1,1,0.017683
PNP1,1,0.016547
BUD4,1,0.013545
TCM62,1,0.013273
MTC6,1,0.010348
YEH1,1,0.010163
YLR042C,3,0.006662
YCK1,2,0.006205
FLC2,1,0.005680
MCM3,2,0.003741
AVL9,2,0.002490
YDR222W,1,0.001699
FIP1,2,-0.002254
TOS6,5,-0.002297
GOR1,1,-0.003679
YMR1,4,-0.007360
HIS4,5,-0.007524
SPO12,1,-0.008411
UME6,3,-0.008862
BOI1,1,-0.010611
KRR1,1,-0.015108
FAA4,1,-0.026102
HXT2,1,-0.026580
BIR1,1,-0.027992
CPA2,3,-0.028851
MSB4,1,-0.029618
TMA10,4,-0.029828
HMG1,1,-0.030085
RNR1,4,-0.030485
CAR2,6,-0.036670
RAD54,3,-0.038700
ELO1,6,-0.040500
MRP13,2,-0.042783
YHR127W,1,-0.045548
HOS4,1,-0.046294
RAX2,2,-0.047252
MEF2,1,-0.047382
UPS2,2,-0.048666
YKL151C,1,-0.050516
PNC1,2,-0.050678
BUR6,3,-0.051802
KAR2,1,-0.053698
HXT4,4,-0.053972
XDJ1,2,-0.055730
RMD6,2,-0.058118
STB1,1,-0.059802
YGL117W,2,-0.059992
DLD3,4,-0.060664
VCX1,2,-0.061477
RFS1,1,-0.064153
EKI1,2,-0.064969
YNL208W,2,-0.065596
NAB2,1,-0.065806
YNL155W,2,-0.065934
YNL134C,6,-0.066101
CLB5,2,-0.066211
CPR8,2,-0.066444
SSA2,4,-0.068878
CLA4,3,-0.070944
FYV7,1,-0.071484
YNL190W,3,-0.072824
PCL5,6,-0.072891
MAE1,7,-0.076263
UBP16,1,-0.078486
MTD1,2,-0.082259
MET1,3,-0.083337
HHT1,3,-0.085195
RPN7,1,-0.086684
PLB1,3,-0.087275
YDL176W,1,-0.087565
FAS1,6,-0.088573
ZEO1,7,-0.089463
ICY2,4,-0.090526
CTF4,1,-0.091455
SKN1,1,-0.092176
HEM3,2,-0.092465
RDL2,1,-0.093077
HPT1,1,-0.093595
MRPL33,1,-0.094348
MRT4,1,-0.097177
RKI1,1,-0.103727
MMR1,1,-0.103856
YPL014W,2,-0.103915
GFA1,3,-0.104821
KRE33,2,-0.105543
UNG1,1,-0.105707
CYC3,3,-0.110515
CIT1,6,-0.110731
MRPS9,2,-0.111299
MSA1,1,-0.113249
AFR1,2,-0.113337
STP4,5,-0.114091
FIN1,1,-0.114536
LRG1,1,-0.114898
YDL241W,1,-0.115258
YBL010C,1,-0.115634
LAC1,6,-0.115654
TRR1,1,-0.117156
TUB4,2,-0.117784
BNA4,1,-0.118471
NOP53,1,-0.119311
SYC1,1,-0.121718
VTC3,4,-0.122317
YBR053C,2,-0.122657
ENB1,3,-0.123435
ISR1,1,-0.123979
ATG34,1,-0.124389
GYP5,1,-0.124504
EBP2,1,-0.124916
DHR2,1,-0.125179
ERG5,2,-0.125525
HIT1,1,-0.125582
YDR282C,1,-0.125810
IKI3,1,-0.125936
MNN10,2,-0.128293
HHF1,3,-0.129565
SET3,1,-0.133441
GPD2,2,-0.135332
YOR152C,2,-0.135724
SIZ1,1,-0.136651
TAF4,1,-0.138617
PRY3,7,-0.138644
PRM2,2,-0.141208
SUP45,1,-0.142521
SKM1,1,-0.143261
AIM17,3,-0.144302
YMR134W,1,-0.144366
RGA1,1,-0.150277
NSR1,3,-0.150785
CYM1,1,-0.153973
MYO2,1,-0.154509
POP4,1,-0.156212
BIO2,1,-0.156446
RAD23,1,-0.158087
PLB3,4,-0.163997
NOC2,3,-0.164361
SRP40,3,-0.165434
KRE6,3,-0.167263
MTF1,1,-0.170196
ALG5,1,-0.170950
CCW14,4,-0.171841
SSF2,2,-0.172766
MTC4,1,-0.173314
MHR1,2,-0.177640
ADI1,3,-0.179188
TRZ1,1,-0.179736
FAA3,3,-0.181146
CLB1,6,-0.182990
ATG26,1,-0.183082
PBY1,1,-0.185538
MCM7,2,-0.185644
GPX1,3,-0.186405
MOT3,3,-0.186696
OAC1,6,-0.186971
NUG1,2,-0.187101
MCD1,2,-0.187404
REE1,2,-0.191832
PUF6,1,-0.192465
RLP7,3,-0.193149
FET3,4,-0.193834
PMA1,3,-0.193977
OCH1,1,-0.194396
CDC3,1,-0.194791
DBP2,2,-0.196245
ECM10,1,-0.197751
CMS1,1,-0.198764
NDE1,6,-0.201032
SAM1,4,-0.204146
CYK3,1,-0.204771
YMR102C,2,-0.205197
TIP1,7,-0.205576
HSP42,3,-0.206844
RNH202,2,-0.209004
ORC4,1,-0.213335
PHO87,1,-0.213779
ICY1,8,-0.215626
AHC1,2,-0.217687
TPS3,2,-0.219655
GDH3,5,-0.219742
SRY1,1,-0.219943
SKG6,3,-0.221103
RPN5,1,-0.223080
GAT1,7,-0.223489
MCR1,1,-0.225088
