tf,substrate,source,yeastract_sign,in_teufel
PDC2,PHO3,teufel,NA,1
MCM1,PHO3,teufel,+,1
TEC1,PBY1,teufel,NA,1
ABF1,RXT2,teufel,-,1
ABF1,YBR096W,teufel,-,1
HSF1,FES1,teufel,both,1
SPT23,FES1,teufel,NA,1
MSN2,FES1,teufel,NA,1
STE12,SIF2,teufel,NA,1
RTG3,YMC2,teufel,+,1
GCN4,YMC2,teufel,both,1
MSN2,VID24,teufel,NA,1
RAP1,VID24,teufel,both,1
RDS2,VID24,teufel,NA,1
MSN2,PHO88,teufel,NA,1
RAP1,PHO88,teufel,NA,1
RPN4,CMD1,teufel,-,1
CST6,CMD1,teufel,+,1
LEU3,YSA1,teufel,+,1
GCN4,RAD16,teufel,-,1
STE12,RAD16,teufel,NA,1
ABF1,RAD16,teufel,NA,1
GCN4,LYS2,teufel,+,1
ASH1,LYS2,teufel,NA,1
TUP1,TEF2,teufel,NA,1
GCN4,TEF2,teufel,+,1
HSF1,TEF2,teufel,+,1
RAP1,TEF2,teufel,+,1
CIN5,TEF2,teufel,+,1
SFP1,GRS1,teufel,NA,1
STE12,TFC1,teufel,NA,1
OAF1,TPS1,teufel,+,1
MSN2,TPS1,teufel,+,1
STE12,SHE3,teufel,NA,1
TEC1,HSL7,teufel,NA,1
TYE7,HSL7,teufel,+,1
MSN2,CKS1,teufel,both,1
GCR2,CKS1,teufel,NA,1
OAF3,MEC1,teufel,NA,1
STE12,YBR138C,teufel,NA,1
FLO8,YBR139W,teufel,NA,1
FKH1,YBR139W,teufel,NA,1
STE12,IRA1,teufel,NA,1
ABF1,SUP45,teufel,both,1
GCN4,ADH5,teufel,+,1
ABF1,ADH5,teufel,+,1
GCR2,ADH5,teufel,NA,1
CIN5,ADH5,teufel,+,1
TYE7,ADH5,teufel,+,1
ABF1,MRPS9,teufel,NA,1
STB1,MRPS9,teufel,NA,1
TEC1,TBS1,teufel,NA,1
STE12,TBS1,teufel,NA,1
MSN2,APD1,teufel,NA,1
SFP1,RPB5,teufel,NA,1
SWI5,AMN1,teufel,+,1
STE12,AMN1,teufel,NA,1
ACE2,AMN1,teufel,+,1
ABF1,IFA38,teufel,-,1
ACE2,IFA38,teufel,NA,1
TEC1,TOS1,teufel,NA,1
STE12,TOS1,teufel,NA,1
ABF1,TOS1,teufel,-,1
ABF1,YSY6,teufel,-,1
ABF1,EXO5,teufel,-,1
ABF1,TYR1,teufel,-,1
MSN2,TYR1,teufel,+,1
MCM1,POP7,teufel,-,1
HSF1,SSE2,teufel,NA,1
SKN7,SSE2,teufel,NA,1
GZF3,SSE2,teufel,NA,1
ABF1,SSE2,teufel,NA,1
SOK2,SSE2,teufel,NA,1
MSN2,SSE2,teufel,NA,1
CIN5,SSE2,teufel,+,1
YAP1,EHT1,teufel,NA,1
INO4,EHT1,teufel,both,1
ABF1,FZO1,teufel,NA,1
YAP1,FZO1,teufel,NA,1
TUP1,RPS6B,teufel,NA,1
SFP1,RPS6B,teufel,NA,1
SFP1,NTC20,teufel,NA,1
FHL1,NTC20,teufel,NA,1
IFH1,RPS9B,teufel,NA,1
SFP1,RPS9B,teufel,NA,1
RAP1,RPS9B,teufel,+,1
IFH1,RPL21A,teufel,NA,1
SFP1,RPL21A,teufel,NA,1
RAP1,RPL21A,teufel,+,1
GCR2,PGI1,teufel,NA,1
RAP1,PGI1,teufel,+,1
GCR1,PGI1,teufel,both,1
ABF1,KTR4,teufel,-,1
MSN2,MCM7,teufel,NA,1
MCM1,MCM7,teufel,+,1
AFT1,FTH1,teufel,NA,1
HSF1,FTH1,teufel,NA,1
AFT2,FTH1,teufel,+,1
GLN3,DUR1_2,teufel,NA,1
DAL81,DUR1_2,teufel,NA,1
CIN5,ERV15,teufel,-,1
ABF1,NGR1,teufel,-,1
MET32,MET8,teufel,+,1
MET4,MET8,teufel,+,1
YRM1,YBP1,teufel,NA,1
GCN4,PYC2,teufel,+,1
STE12,YBR220C,teufel,NA,1
AFT1,PCS60,teufel,NA,1
STE12,YBR225W,teufel,NA,1
STE12,ROT2,teufel,NA,1
ACE2,ROT2,teufel,NA,1
ACE2,OM14,teufel,NA,1
MSN2,OM14,teufel,+,1
ABF1,PBP2,teufel,-,1
AFT1,PRP5,teufel,NA,1
STE12,PRP5,teufel,NA,1
STE12,ERT1,teufel,NA,1
STE12,YBR241C,teufel,+,1
YAP1,YBR241C,teufel,both,1
CIN5,YBR241C,teufel,NA,1
HAP3,GPX2,teufel,+,1
SKN7,GPX2,teufel,both,1
YAP1,GPX2,teufel,both,1
MSN2,GPX2,teufel,both,1
CRZ1,GPX2,teufel,+,1
GCN4,HIS7,teufel,+,1
CBF1,HIS7,teufel,+,1
ABF1,HIS7,teufel,both,1
BAS1,HIS7,teufel,+,1
GCN4,ARO4,teufel,+,1
CBF1,ARO4,teufel,+,1
SOK2,ARO4,teufel,NA,1
CST6,MRPS5,teufel,+,1
GCN4,TRS20,teufel,+,1
GCN4,MTC4,teufel,+,1
GCN4,RIB5,teufel,+,1
GCN4,POP4,teufel,+,1
STE12,SHM1,teufel,NA,1
ABF1,YPT10,teufel,-,1
YOX1,TSC10,teufel,NA,1
STE12,MRPL37,teufel,NA,1
SOK2,SAF1,teufel,NA,1
ABF1,MRPL27,teufel,-,1
SFP1,MRPL27,teufel,NA,1
ABF1,SSH1,teufel,NA,1
MET32,VBA2,teufel,+,1
ABF1,VBA2,teufel,NA,1
RAP1,PCA1,teufel,+,1
PHO4,CHA1,teufel,-,1
STE12,CHA1,teufel,+,1
ABF1,CHA1,teufel,both,1
CHA4,CHA1,teufel,both,1
FKH1,VAC17,teufel,-,1
CHA4,VAC17,teufel,+,1
STE12,MRC1,teufel,NA,1
HSF1,KRR1,teufel,+,1
FKH2,KRR1,teufel,+,1
UME6,PRD1,teufel,-,1
RPN4,KAR4,teufel,both,1
STE12,KAR4,teufel,both,1
MCM1,KAR4,teufel,-,1
REB1,SPB1,teufel,-,1
STE12,SPB1,teufel,NA,1
ZAP1,SPB1,teufel,NA,1
ABF1,SPB1,teufel,-,1
YOX1,SPB1,teufel,NA,1
HSF1,APA1,teufel,+,1
HAC1,PDI1,teufel,+,1
STE12,PDI1,teufel,NA,1
RAP1,PDI1,teufel,+,1
PDR3,GLK1,teufel,both,1
MSN2,GLK1,teufel,+,1
RAP1,GLK1,teufel,+,1
GCR1,GLK1,teufel,both,1
STE12,GID7,teufel,NA,1
YRM1,ATG22,teufel,NA,1
SOK2,RRP7,teufel,NA,1
PHO2,HIS4,teufel,+,1
GCN4,HIS4,teufel,+,1
GLN3,HIS4,teufel,+,1
BAS1,HIS4,teufel,both,1
MSN2,HIS4,teufel,-,1
RAP1,HIS4,teufel,+,1
STE12,RNQ1,teufel,both,1
RAP1,RNQ1,teufel,NA,1
TEC1,FUS1,teufel,both,1
STE12,FUS1,teufel,both,1
YAP1,HBN1,teufel,both,1
OAF1,AGP1,teufel,-,1
TUP1,AGP1,teufel,NA,1
UME6,AGP1,teufel,-,1
ADR1,AGP1,teufel,-,1
STP1,AGP1,teufel,+,1
SWI4,AGP1,teufel,-,1
STP2,AGP1,teufel,+,1
DAL81,AGP1,teufel,+,1
ASH1,AGP1,teufel,NA,1
MSN2,AGP1,teufel,both,1
RAP1,AGP1,teufel,NA,1
YAP1,BUD3,teufel,+,1
STE12,ILV6,teufel,NA,1
MSN2,STP22,teufel,-,1
ABF1,LDB16,teufel,+,1
ABF1,MRPL32,teufel,NA,1
RPN4,CIT2,teufel,both,1
MSN2,CIT2,teufel,both,1
STE12,SAT4,teufel,NA,1
STE12,YCR015C,teufel,NA,1
TEC1,CWH43,teufel,+,1
STE12,MAK32,teufel,+,1
GCN4,YCR023C,teufel,+,1
RLM1,SLM5,teufel,+,1
YOX1,PMP1,teufel,NA,1
SOK2,PMP1,teufel,NA,1
RAP1,PMP1,teufel,NA,1
MSN2,RHB1,teufel,NA,1
IFH1,RPS14A,teufel,NA,1
SFP1,RPS14A,teufel,NA,1
RAP1,RPS14A,teufel,+,1
YOX1,BPH1,teufel,NA,1
INO4,SNT1,teufel,-,1
PHO4,PHO87,teufel,NA,1
GCN4,THR4,teufel,+,1
ABF1,THR4,teufel,NA,1
YAP1,PWP2,teufel,both,1
YOX1,PWP2,teufel,NA,1
TEC1,YCR061W,teufel,NA,1
UME6,YCR061W,teufel,-,1
PDR1,YCR061W,teufel,both,1
STE12,YCR061W,teufel,NA,1
HAP1,YCR061W,teufel,NA,1
MBP1,HCM1,teufel,+,1
FLO8,HCM1,teufel,+,1
SWI4,HCM1,teufel,+,1
RAP1,HCM1,teufel,NA,1
MSN2,CPR4,teufel,-,1
RAP1,CPR4,teufel,+,1
RAP1,PAT1,teufel,NA,1
YRM1,PAT1,teufel,NA,1
RPN4,AHC2,teufel,both,1
MSN2,CSM1,teufel,-,1
STE12,ABP1,teufel,-,1
TYE7,ABP1,teufel,+,1
TEC1,FIG2,teufel,+,1
STE12,FIG2,teufel,both,1
RPN4,CDC39,teufel,-,1
GCR2,OCA4,teufel,NA,1
RAP1,HMRA1,teufel,-,1
STE12,YCR102C,teufel,NA,1
YAP1,YCR102C,teufel,both,1
MSN2,YCR102C,teufel,NA,1
SKO1,YCR102C,teufel,+,1
HAL9,YCR102C,teufel,NA,1
ROX1,YCR102C,teufel,NA,1
YAP1,AAD4,teufel,NA,1
SOK2,AAD4,teufel,NA,1
YAP1,YDL241W,teufel,both,1
STE12,LRG1,teufel,NA,1
STE12,ADY3,teufel,NA,1
YRM1,ADY3,teufel,NA,1
ABF1,SSB1,teufel,+,1
RAP1,SSB1,teufel,+,1
TYE7,SSB1,teufel,+,1
MBP1,HO,teufel,-,1
SWI5,HO,teufel,+,1
SWI4,HO,teufel,+,1
STP2,HO,teufel,+,1
ASH1,HO,teufel,-,1
ACE2,HO,teufel,NA,1
PHO2,GCS1,teufel,+,1
GCN4,GDH2,teufel,both,1
GLN3,GDH2,teufel,NA,1
GAT1,GDH2,teufel,NA,1
MSN2,GDH2,teufel,NA,1
AFT1,NOP6,teufel,NA,1
YOX1,CWC2,teufel,NA,1
CIN5,NHP2,teufel,-,1
STE12,HEM3,teufel,NA,1
MSN2,HEM3,teufel,NA,1
GCN4,GGC1,teufel,+,1
STB5,GGC1,teufel,+,1
CBF1,GGC1,teufel,+,1
GCN4,ASF2,teufel,-,1
MSN2,SEC31,teufel,NA,1
RAP1,SEC31,teufel,NA,1
RAP1,ARF1,teufel,both,1
IFH1,RPL35A,teufel,NA,1
SFP1,RPL35A,teufel,NA,1
RAP1,RPL35A,teufel,+,1
CIN5,RPL35A,teufel,-,1
ABF1,UFD2,teufel,NA,1
ABF1,RBS1,teufel,NA,1
AFT1,PPH22,teufel,+,1
TUP1,VMA1,teufel,NA,1
ARO80,RPL41A,teufel,NA,1
STE12,RPL41A,teufel,NA,1
IFH1,RPL41A,teufel,NA,1
SFP1,RPL41A,teufel,NA,1
LEU3,RPL41A,teufel,both,1
TEC1,YDL183C,teufel,NA,1
STE12,YDL183C,teufel,NA,1
YAP1,YDL183C,teufel,NA,1
PHO4,INH1,teufel,NA,1
MSN2,INH1,teufel,NA,1
YAP1,YDL180W,teufel,NA,1
SWI5,PCL9,teufel,+,1
STE12,DLD2,teufel,NA,1
ARG81,YDL176W,teufel,-,1
SWI5,DLD1,teufel,NA,1
HAP1,DLD1,teufel,NA,1
MSN2,DLD1,teufel,NA,1
CIN5,DLD1,teufel,+,1
MSN2,PAR32,teufel,-,1
GCN4,GLT1,teufel,+,1
GLN3,GLT1,teufel,+,1
HAP2,GLT1,teufel,+,1
ABF1,GLT1,teufel,NA,1
YAP1,GLT1,teufel,+,1
MSN2,GLT1,teufel,-,1
GCN4,UGA3,teufel,both,1
GLN3,UGA3,teufel,+,1
DAL81,UGA3,teufel,NA,1
YAP1,SFA1,teufel,both,1
YHP1,NRP1,teufel,NA,1
YAP1,FAP7,teufel,+,1
SOK2,STE7,teufel,NA,1
DAL82,CLB3,teufel,+,1
YRM1,CLB3,teufel,NA,1
GCN4,MSH5,teufel,both,1
RPN4,NOP14,teufel,both,1
MSN2,NOP14,teufel,NA,1
RPN4,RPN5,teufel,both,1
RPN4,YDL144C,teufel,both,1
HIR2,CCT4,teufel,NA,1
REB1,RPO21,teufel,+,1
RAP1,RPO21,teufel,NA,1
YRM1,RPO21,teufel,NA,1
ABF1,RGT2,teufel,+,1
MSN2,ARF2,teufel,NA,1
PHD1,RPL35B,teufel,NA,1
SFP1,RPL35B,teufel,NA,1
OTU1,RDI1,teufel,NA,1
