substrate,tf,alpha
AAC1,ASH1,-0.348426
AAC1,FHL1,-0.146213
AAC1,MSN2,-0.032938
AAC1,SOK2,-0.189564
AAC3,MSN2,-0.106660
AAC3,PHO2,0.085936
AAC3,RAP1,0.046478
AAC3,STE12,0.234443
AAD10,SOK2,0.000000
AAD10,STE12,0.225499
AAD16,MSN2,0.000000
AAD16,RPN4,-0.072054
AAD16,YAP1,0.038219
AAD3,AFT1,0.000000
AAD3,PHO2,-0.169462
AAD3,RDS1,0.118919
AAD3,SOK2,-0.024418
AAD3,TEC1,-0.169430
AAD4,SOK2,-0.000724
AAD4,YAP1,-0.025104
AAD6,RPN4,-0.129551
AAD6,YAP1,-0.072420
AAR2,MSS11,-0.017130
AAR2,STE12,0.077643
AAT2,ABF1,-0.061198
AAT2,GCN4,0.000000
ABF2,MCM1,-0.191222
ABF2,SWI4,-0.010470
ABP1,STE12,0.000000
ABP1,TYE7,-0.031379
ABP140,YOX1,0.212647
ACB1,ABF1,-0.249656
ACB1,MSN2,-0.255575
ACB1,STE12,-0.001164
ACC1,INO2,-0.215179
ACC1,INO4,-0.080986
ACC1,MSN2,-0.037437
ACE2,FKH2,0.125229
ACE2,INO4,-0.374332
ACH1,CAT8,0.000000
ACH1,FLO8,-0.052135
ACH1,MSN2,-0.069701
ACH1,SOK2,-0.160631
ACM1,MBP1,-0.117255
ACM1,SWI4,0.095237
ACM1,YHP1,-0.156506
ACO1,CIN5,-0.079577
ACO1,DAL81,0.000000
ACO1,RAP1,-0.157497
ACO1,RTG3,0.383925
ACO1,STE12,0.063771
ACO1,TUP1,0.015865
ACO1,YAP1,0.000000
ACO2,GCN4,0.000000
ACO2,MSN2,0.123206
ACO2,RAP1,-0.059042
ACP1,ABF1,0.000000
ACP1,MSN2,-0.208194
ACS1,ABF1,-0.046205
ACS1,ADR1,0.000000
ACS1,CAT8,0.026609
ACS1,RAP1,-0.018150
ACS1,SOK2,0.041959
ACS1,STE12,0.158929
ACS1,UME6,-0.071288
ACS1,YRM1,-0.145071
ACS2,HAP1,0.326648
ACS2,PIP2,0.055665
ACT1,REB1,-0.112341
ADA2,FHL1,0.006783
ADA2,IFH1,0.047034
ADA2,STE12,0.000000
ADA2,TEC1,-0.132443
ADD37,STE12,-0.257544
ADE1,BAS1,0.000000
ADE1,PHO2,-0.351793
ADE1,TEC1,-0.016099
ADE16,BAS1,-0.209996
ADE16,CIN5,0.000000
ADE16,RAP1,0.059130
ADE17,BAS1,0.000000
ADE17,PHO2,-0.123774
ADE17,YAP1,0.028147
ADE2,AFT1,-0.033225
ADE2,BAS1,-0.071438
ADE2,PHO2,0.000000
ADE3,BAS1,0.000000
ADE3,CBF1,0.000000
ADE3,GCN4,-0.109594
ADE3,HAP5,-0.115159
ADE3,MET28,0.173768
ADE3,MET31,-0.287464
ADE3,MET32,0.131060
ADE3,MET4,0.000000
ADE3,PHO2,0.000000
ADE3,RAP1,-0.301170
ADE4,BAS1,-0.017472
ADE4,PHO2,-0.146137
ADE4,YRM1,0.000000
ADE5_7,BAS1,0.000000
ADE5_7,GCN4,0.206267
ADE5_7,PHO2,-0.025954
ADE5_7,RAP1,-0.095922
ADE6,BAS1,0.109320
ADE8,ABF1,0.126423
ADE8,BAS1,-0.137852
ADE8,RAP1,-0.159176
ADH1,ABF1,-0.092028
ADH1,GCR1,-0.132339
ADH1,GCR2,0.000000
ADH1,RAP1,0.000000
ADH1,SOK2,-0.038198
ADH2,ADR1,-0.049998
ADH2,CAT8,0.129096
ADH2,OAF1,0.117659
ADH2,SFP1,0.001606
ADH3,ABF1,-0.046729
ADH3,CBF1,0.220488
ADH3,CRZ1,-0.270052
ADH3,IXR1,-0.080672
ADH3,RAP1,-0.230059
ADH4,ABF1,0.000000
ADH4,TYE7,0.226321
ADH4,YHP1,0.160470
ADH4,ZAP1,0.163353
ADH5,ABF1,-0.018587
ADH5,CIN5,0.098909
ADH5,GCN4,0.000000
ADH5,GCR2,-0.236024
ADH5,TYE7,0.089884
ADH7,PUT3,0.000000
ADH7,TEC1,0.000000
ADH7,YAP1,0.081652
ADI1,MET32,0.245830
ADI1,MSN2,-0.017795
ADI1,SOK2,-0.156243
ADR1,FHL1,0.129486
ADR1,MSN2,0.255469
ADR1,MSN4,-0.094097
ADR1,STE12,-0.000092
ADY2,ADR1,-0.171558
ADY2,CAT8,0.191438
ADY2,RAP1,0.000000
ADY2,STE12,-0.047512
ADY3,STE12,-0.161719
ADY3,YRM1,-0.078774
ADY4,MSN2,0.095102
ADY4,STE12,-0.078465
ADY4,TEC1,-0.104656
AEP3,HSF1,0.187420
AEP3,MSN2,-0.116917
AFG1,MSN4,-0.081940
AFG1,YAP1,0.000000
AFG2,ACE2,-0.064845
AFG2,BAS1,0.285964
AFG2,NRG1,0.069073
AFG3,SOK2,0.088800
AFR1,MSN4,0.000000
AFR1,RLM1,0.012079
AFR1,STE12,-0.004841
AFT1,AFT2,0.310884
AFT2,YAP1,-0.217073
AGA1,MCM1,-0.064413
AGA1,MOT3,-0.139807
AGA1,ROX1,0.000000
AGA1,STE12,0.000000
AGA1,SWI4,-0.037776
AGA1,SWI6,-0.031217
AGA1,TEC1,0.018239
AGA2,MSN2,-0.142529
AGA2,STE12,0.078704
AGA2,TEC1,0.043884
AGP1,ADR1,0.000000
AGP1,ASH1,0.096142
AGP1,DAL81,0.198787
AGP1,MSN2,-0.132747
AGP1,OAF1,-0.038521
AGP1,RAP1,0.138337
AGP1,STP1,0.000000
AGP1,STP2,-0.079410
AGP1,SWI4,-0.156845
AGP1,TUP1,-0.073263
AGP1,UME6,0.000000
AGP3,RLM1,0.038173
AGP3,STE12,-0.040706
AGP3,YAP1,0.000000
AGX1,CIN5,0.015643
AGX1,MSN2,-0.220457
AGX1,STE12,-0.090996
AHA1,GCN4,-0.035695
AHA1,HSF1,0.035639
AHA1,SPT23,0.140344
AHA1,STE12,0.000000
AHC1,RAP1,0.270557
AHC1,SOK2,0.102668
AHC2,RPN4,-0.183050
AHP1,CBF1,0.000000
AHP1,HSF1,0.504557
AHP1,MSN2,-0.103451
AHP1,MSN4,0.000000
AHP1,SKN7,-0.040697
AHP1,SKO1,-0.237747
AHP1,YAP1,0.120675
AIF1,YAP1,0.097668
AIM11,MSN2,-0.158260
AIM13,STE12,-0.110714
AIM13,YRM1,-0.322477
AIM17,CAD1,0.247235
AIM17,MSN2,-0.204346
AIM17,OAF1,0.000000
AIM17,PDR1,0.025642
AIM18,STE12,0.016573
AIM19,CBF1,-0.014051
AIM20,ASH1,-0.410407
AIM22,STE12,-0.125557
AIM26,MSN2,-0.167506
AIM26,SKN7,0.000000
AIM26,STE12,0.026394
AIM29,CIN5,0.000000
AIM29,MSN2,-0.275734
AIM29,STE12,0.019300
AIM33,YAP1,-0.035948
AIM37,SOK2,-0.364651
