substrate,q_x,boot_robust_frac,mean_n_sources,transfer_r_median,repressor_score,carries_repressor,n_repressor_edges,n_edges,n_robust_edges,periodicity_pvalue,score,tier,reason
AAC1,0.5509,0.0000,1.0000,0.1744,1.0000,false,0,4,0,0.122842,0.4117,DO-NOT-USE,non-periodic;over-parameterized
AAD10,0.9000,0.5000,1.0000,0.3067,1.0000,false,0,2,1,2.29642e-08,0.6080,USE,
AAD16,0.2856,1.0000,2.0000,-0.1535,1.0000,false,0,1,1,3.79251,0.5905,DO-NOT-USE,non-periodic
AAD4,0.5899,1.0000,1.0000,-0.4075,1.0000,false,0,1,1,4.2445e-05,0.5846,USE,
AAT2,0.3290,0.5000,1.5000,-0.4588,1.0000,false,0,2,1,0.136294,0.4658,DO-NOT-USE,non-periodic
ABF2,0.8447,1.0000,2.0000,-0.0311,1.0000,false,0,2,2,3.01719e-09,0.7023,USE,
ABP1,0.0574,1.0000,2.5000,0.0591,1.0000,false,0,2,2,16.9526,0.5900,DO-NOT-USE,non-periodic
ABP140,0.8618,1.0000,0.0000,0.1889,1.0000,false,0,1,1,0.000571637,0.6101,USE,
ACB1,0.2839,0.3333,0.6667,-0.3639,1.0000,false,0,3,1,0.47516,0.3679,DO-NOT-USE,non-periodic
ACC1,0.7678,0.5000,2.5000,-0.0769,1.0000,false,0,2,1,0.00241136,0.6202,USE,
ACE2,0.9699,0.0000,2.5000,0.5716,1.0000,false,0,2,0,7.75293e-15,0.6750,USE,
ACH1,0.0963,0.0000,1.6667,-0.1505,1.0000,false,0,3,0,3.43726,0.3304,DO-NOT-USE,non-periodic
ACM1,0.9897,0.0000,2.0000,-0.2610,1.0000,false,0,3,0,8.91844e-19,0.5313,USE,
ACO1,0.8837,0.5000,1.5000,0.0967,1.0000,false,0,2,1,1.343e-05,0.5961,USE,
ACO2,0.8314,1.0000,2.0000,0.1581,1.0000,false,0,1,1,2.50619e-05,0.7312,USE,
ACP1,0.2386,0.5000,1.0000,-0.3979,1.0000,false,0,2,1,0.00532963,0.4144,CAUTION,
ACS1,0.6353,0.0000,1.7500,-0.2084,1.0000,false,0,4,0,0.000337017,0.4437,DO-NOT-USE,over-parameterized
ACS2,0.6207,1.0000,3.0000,0.3684,1.0000,false,0,1,1,0.230787,0.7978,DO-NOT-USE,non-periodic
ACT1,0.2221,1.0000,2.0000,-0.4527,1.0000,false,0,1,1,0.524633,0.5778,DO-NOT-USE,non-periodic
ADA2,0.7131,0.2500,1.5000,-0.4244,1.0000,false,0,4,1,0.0408991,0.4926,CAUTION,
