substrate,time_min,mult_signed,mult_absdev
VHR1,0,0.46971,1.0607
VHR1,5,-0.41506,1.16197
VHR1,10,-1.20779,1.25271
VHR1,15,-1.26907,1.25972
VHR1,20,0.05531,1.10813
VHR1,25,0.25321,1.08548
VHR1,30,3.77079,0.68285
VHR1,35,1.61976,0.92906
VHR1,40,2.7049,0.80485
VHR1,45,-0.76677,1.20223
VHR1,50,1.01266,0.99855
VHR1,55,2.63194,0.81321
VHR1,60,-1.05758,1.23551
VHR1,70,0.84425,1.01783
VHR1,80,1.40198,0.95399
VHR1,90,2.11015,0.87293
VHR1,100,4.35449,0.61604
VHR1,110,1.92906,0.89366
VHR1,120,0.47709,1.05985
VHR1,130,2.19247,0.86351
VHR1,140,0.14817,1.0975
VHR1,150,0.74031,1.02972
RTS3,0,,
RTS3,5,-8.51538,1.54759
RTS3,10,-0.32507,1.07625
RTS3,15,-0.64769,1.09482
RTS3,20,0.2235,1.04469
RTS3,25,0.60445,1.02276
RTS3,30,6.58462,0.67862
RTS3,35,3.86245,0.83527
RTS3,40,3.41078,0.86127
RTS3,45,-0.63705,1.09421
RTS3,50,1.5703,0.96718
RTS3,55,-2.30441,1.19016
RTS3,60,-0.38332,1.07961
RTS3,70,3.60858,0.84988
RTS3,80,2.03402,0.94049
RTS3,90,4.28207,0.81112
RTS3,100,6.36533,0.69124
RTS3,110,0.03471,1.05555
RTS3,120,-1.74254,1.15783
RTS3,130,-1.04724,1.11781
RTS3,140,2.75444,0.89904
RTS3,150,2.51556,0.91278
CLN2,0,0.58833,0.58833
CLN2,5,1.40969,1.40969
CLN2,10,1.83851,1.83851
CLN2,15,1.4348,1.4348
CLN2,20,0.58666,0.58666
CLN2,25,0.40811,0.40811
CLN2,30,0.56143,0.56143
CLN2,35,,
CLN2,40,,
CLN2,45,0.69945,0.69945
CLN2,50,1.03463,1.03463
CLN2,55,0.96633,0.96633
CLN2,60,1.55466,1.55466
CLN2,70,1.67164,1.67164
CLN2,80,0.8254,0.8254
CLN2,90,0.59491,0.59491
CLN2,100,0.66893,0.66893
CLN2,110,0.48882,0.48882
CLN2,120,0.89062,0.89062
CLN2,130,1.35974,1.35974
CLN2,140,1.51868,1.51868
CLN2,150,0.91877,0.91877
CLB5,0,0.77901,0.77901
CLB5,5,1.14636,1.14636
CLB5,10,1.5458,1.5458
CLB5,15,1.42196,1.42196
CLB5,20,0.8196,0.8196
CLB5,25,0.89797,0.89797
CLB5,30,0.92143,0.92143
CLB5,35,,
CLB5,40,,
CLB5,45,0.67423,0.67423
CLB5,50,0.80335,0.80335
CLB5,55,0.77178,0.77178
CLB5,60,1.24826,1.24826
CLB5,70,1.45669,1.45669
CLB5,80,0.99087,0.99087
CLB5,90,0.96103,0.96103
CLB5,100,0.79457,0.79457
CLB5,110,0.89234,0.89234
CLB5,120,0.82569,0.82569
CLB5,130,1.07139,1.07139
CLB5,140,1.48313,1.48313
CLB5,150,0.96658,0.96658
SIC1,0,0.49931,0.49931
SIC1,5,0.59402,0.59402
SIC1,10,0.63491,0.63491
SIC1,15,0.61462,0.61462
SIC1,20,0.81121,0.81121
SIC1,25,0.68261,0.68261
SIC1,30,1.57665,1.57665
SIC1,35,1.61342,1.61342
SIC1,40,1.64325,1.64325
SIC1,45,1.53429,1.53429
SIC1,50,1.48343,1.48343
SIC1,55,1.53235,1.53235
SIC1,60,1.02621,1.02621
SIC1,70,0.58694,0.58694
SIC1,80,0.69368,0.69368
SIC1,90,0.90073,0.90073
SIC1,100,1.48827,1.48827
SIC1,110,1.35206,1.35206
SIC1,120,0.99473,0.99473
SIC1,130,0.5374,0.5374
SIC1,140,0.49516,0.49516
SIC1,150,0.70475,0.70475
ADE5_7,0,1.85617,1.03657
ADE5_7,5,5.13687,1.17669
ADE5_7,10,4.96747,1.16945
ADE5_7,15,3.1558,1.09208
ADE5_7,20,-1.05982,0.91202
ADE5_7,25,4.35295,1.14321
ADE5_7,30,1.69417,1.02965
ADE5_7,35,0.97829,0.99907
ADE5_7,40,2.15418,1.0493
ADE5_7,45,6.65615,1.24158
ADE5_7,50,-4.31213,0.77311
ADE5_7,55,0.78345,0.99075
ADE5_7,60,2.48757,1.06354
ADE5_7,70,4.80973,1.16272
ADE5_7,80,-4.5653,0.7623
ADE5_7,90,3.45932,1.10504
ADE5_7,100,-4.41001,0.76893
ADE5_7,110,-0.8015,0.92306
ADE5_7,120,-7.33405,0.64404
ADE5_7,130,-0.29173,0.94483
ADE5_7,140,-0.25795,0.94627
ADE5_7,150,2.54038,1.06579
ATR1,0,1.3707,1.11376
ATR1,5,3.23177,1.68487
ATR1,10,2.30665,1.40098
ATR1,15,1.8392,1.25753
ATR1,20,1.93641,1.28736
ATR1,25,0.58211,0.87176
ATR1,30,0.238,0.76616
ATR1,35,0.54875,0.86152
ATR1,40,-0.1622,0.64335
ATR1,45,0.28602,0.7809
ATR1,50,0.43029,0.82517
ATR1,55,0.11718,0.72909
ATR1,60,0.67584,0.90052
ATR1,70,0.13821,0.73554
ATR1,80,0.69625,0.90679
ATR1,90,0.45907,0.834
ATR1,100,1.01925,1.00591
ATR1,110,1.23192,1.07117
ATR1,120,1.04769,1.01464
ATR1,130,2.32281,1.40594
ATR1,140,1.11409,1.03501
ATR1,150,0.56999,0.86804
GAS3,0,1.32047,1.11262
GAS3,5,1.33903,1.11915
GAS3,10,2.36804,1.48078
GAS3,15,1.50117,1.17613
GAS3,20,0.61038,0.86307
GAS3,25,0.59443,0.85747
GAS3,30,0.13495,0.69599
GAS3,35,-0.7511,0.38459
GAS3,40,0.31825,0.76041
GAS3,45,0.93748,0.97803
GAS3,50,0.85055,0.94748
GAS3,55,1.08033,1.02823
GAS3,60,1.51331,1.1804
GAS3,70,1.69921,1.24573
GAS3,80,1.38916,1.13677
GAS3,90,0.80059,0.92992
GAS3,100,0.35889,0.77469
GAS3,110,1.6498,1.22837
GAS3,120,1.15346,1.05393
GAS3,130,,
GAS3,140,2.28147,1.45036
GAS3,150,0.22396,0.72727
HHF1,0,1.14479,1.03607
HHF1,5,1.59019,1.14703
HHF1,10,2.75371,1.43688
HHF1,15,1.54774,1.13645
HHF1,20,1.15979,1.03981
HHF1,25,0.2962,0.82467
HHF1,30,0.58164,0.89578
HHF1,35,0.68224,0.92084
HHF1,40,1.53685,1.13374
HHF1,45,1.50443,1.12566
HHF1,50,0.73801,0.93474
HHF1,55,0.29213,0.82366
HHF1,60,2.24698,1.31064
HHF1,70,0.87417,0.96865
HHF1,80,0.80217,0.95072
HHF1,90,0.24363,0.81158
HHF1,100,0.84933,0.96247
HHF1,110,0.17819,0.79527
HHF1,120,0.31427,0.82917
HHF1,130,1.60444,1.15057
HHF1,140,1.10272,1.02559
HHF1,150,-0.04363,0.74001
HSP150,0,0.09701,0.60272
HSP150,5,0.42124,0.74536
HSP150,10,0.01493,0.5666
HSP150,15,0.42969,0.74908
HSP150,20,0.49724,0.7788
HSP150,25,0.25575,0.67255
HSP150,30,1.72064,1.31706
HSP150,35,2.13911,1.50117
HSP150,40,2.20175,1.52873
HSP150,45,2.10932,1.48806
HSP150,50,1.99001,1.43557
HSP150,55,2.15302,1.50729
HSP150,60,1.05135,1.02259
HSP150,70,,
HSP150,80,0.3618,0.71921
HSP150,90,0.84233,0.93063
HSP150,100,1.97467,1.42882
HSP150,110,1.62774,1.27618
HSP150,120,1.09621,1.04233
HSP150,130,0.31766,0.69979
HSP150,140,-0.01586,0.55305
HSP150,150,0.38973,0.7315
LYS20,0,,
LYS20,5,5.33138,1.63736
LYS20,10,2.07064,1.15754
LYS20,15,1.38973,1.05735
LYS20,20,1.84729,1.12468
LYS20,25,2.75876,1.2588
LYS20,30,1.38576,1.05676
LYS20,35,1.7345,1.10808
LYS20,40,1.87959,1.12943
LYS20,45,0.99577,0.99938
LYS20,50,1.22593,1.03325
LYS20,55,-0.53623,0.77394
LYS20,60,-2.1292,0.53954
LYS20,70,-1.77754,0.59129
LYS20,80,0.21805,0.88494
LYS20,90,0.54582,0.93317
LYS20,100,0.77798,0.96733
LYS20,110,2.65634,1.24373
LYS20,120,-0.52944,0.77494
LYS20,130,0.56505,0.936
LYS20,140,0.46306,0.92099
LYS20,150,0.32639,0.90088
PIR1,0,0.03489,0.6438
PIR1,5,-0.05792,0.60954
PIR1,10,-0.07398,0.60362
PIR1,15,-0.16337,0.57063
PIR1,20,0.7318,0.90101
PIR1,25,0.50578,0.81759
PIR1,30,1.96973,1.35791
PIR1,35,2.08011,1.39864
PIR1,40,2.26119,1.46548
PIR1,45,1.92503,1.34141
PIR1,50,1.8496,1.31357
PIR1,55,2.20501,1.44474
PIR1,60,1.24345,1.08985
PIR1,70,0.37609,0.76973
PIR1,80,0.26387,0.72831
PIR1,90,1.06583,1.0243
PIR1,100,2.08804,1.40157
PIR1,110,1.94663,1.34938
PIR1,120,1.13169,1.0486
PIR1,130,0.08082,0.66075
PIR1,140,0.00353,0.63222
PIR1,150,0.53218,0.82734
PRY1,0,0.66889,0.85826
PRY1,5,-0.10307,0.5278
PRY1,10,0.2977,0.69936
PRY1,15,0.80269,0.91554
PRY1,20,1.63874,1.27343
PRY1,25,1.93774,1.40143
PRY1,30,1.85315,1.36522
PRY1,35,,
PRY1,40,,
PRY1,45,1.31868,1.13642
PRY1,50,0.78921,0.90976
PRY1,55,0.7623,0.89825
PRY1,60,0.04849,0.59268
PRY1,70,0.09596,0.613
PRY1,80,1.33935,1.14527
PRY1,90,1.73938,1.31651
PRY1,100,1.57611,1.24662
PRY1,110,1.64488,1.27606
PRY1,120,0.50829,0.78951
PRY1,130,0.43691,0.75895
PRY1,140,1.00731,1.00313
PRY1,150,1.07058,1.03021
SED1,0,0.72242,0.91661
SED1,5,-0.63804,0.50788
SED1,10,-0.21569,0.63477
SED1,15,0.48652,0.84574
SED1,20,1.70958,1.21318
SED1,25,2.1223,1.33717
SED1,30,1.88582,1.26613
SED1,35,,
SED1,40,,
SED1,45,1.41374,1.1243
SED1,50,1.42284,1.12704
SED1,55,0.73683,0.92094
SED1,60,0.07357,0.72167
SED1,70,-0.13478,0.65908
SED1,80,1.4537,1.1363
SED1,90,1.85661,1.25735
SED1,100,1.8724,1.2621
SED1,110,1.99033,1.29753
SED1,120,1.13528,1.04064
SED1,130,0.00368,0.70068
SED1,140,0.30686,0.79176
SED1,150,1.17443,1.05241
SNQ2,0,2.27857,1.52876
SNQ2,5,4.77074,2.5594
SNQ2,10,2.38025,1.5708
SNQ2,15,1.01244,1.00514
SNQ2,20,0.74023,0.89257
SNQ2,25,0.57209,0.82304
SNQ2,30,0.60472,0.83653
SNQ2,35,-0.15161,0.52375
SNQ2,40,-0.30786,0.45913
SNQ2,45,-0.22798,0.49217
SNQ2,50,-0.07915,0.55371
SNQ2,55,0.04348,0.60443
SNQ2,60,1.6628,1.2741
SNQ2,70,2.39607,1.57735
SNQ2,80,1.36101,1.14929
SNQ2,90,0.46165,0.77736
SNQ2,100,-0.12312,0.53553
SNQ2,110,-0.03114,0.57357
SNQ2,120,0.43979,0.76832
SNQ2,130,1.48678,1.20131
SNQ2,140,1.52904,1.21879
SNQ2,150,1.1812,1.07494
UTR2,0,-3.72667,0.77184
UTR2,5,-1.82748,0.86351
UTR2,10,-0.89691,0.90843
UTR2,15,0.33396,0.96785
UTR2,20,1.07078,1.00342
UTR2,25,2.78682,1.08625
UTR2,30,3.94414,1.14212
UTR2,35,6.0587,1.24419
UTR2,40,4.93914,1.19015
UTR2,45,2.48513,1.07169
UTR2,50,4.04293,1.14689
UTR2,55,-5.71698,0.67576
UTR2,60,-2.8054,0.81631
UTR2,70,,
UTR2,80,0.18614,0.96071
UTR2,90,4.27858,1.15826
UTR2,100,4.83865,1.1853
UTR2,110,2.67355,1.08078
UTR2,120,-3.05933,0.80405
UTR2,130,-2.30315,0.84055
UTR2,140,2.46889,1.07091
UTR2,150,1.71578,1.03455
