substrate,cyclebase_rank,periodicity_pvalue,peaktime_pct,q_x,q_rank,q_sigmoid,q_pcomplement,multiplier_amplitude
AAC1,2757,0.122842,50.0,0.5509,0.5509,0.4514,0.8772,0.88
AAD10,615,2.29642e-08,13.0,0.9,0.9,0.9596,1.0,0.8147
AAD16,4385,3.79251,10.0,0.2856,0.2856,0.2809,0,0.5125
AAD4,2518,4.2445e-05,18.0,0.5899,0.5899,0.8228,1.0,0.5125
AAT2,4119,0.136294,68.0,0.329,0.329,0.4458,0.8637,0.6075
ABF2,954,3.01719e-09,71.0,0.8447,0.8447,0.9737,1.0,0.9991
ABP1,5786,16.9526,4.0,0.0574,0.0574,0.2201,0,0.6698
ABP140,849,0.000571637,54.0,0.8618,0.8618,0.7253,0.9994,3.4735
ACB1,4396,0.47516,29.0,0.2839,0.2839,0.3801,0.5248,0.6403
ACC1,1426,0.00241136,19.0,0.7678,0.7678,0.6589,0.9976,0.6895
ACE2,186,7.75293e-15,65.0,0.9699,0.9699,0.9983,1.0,0.7111
ACH1,5547,3.43726,87.0,0.0963,0.0963,0.2852,0,0.6119
ACM1,64,8.91844e-19,16.0,0.9897,0.9897,0.9998,1.0,1.1477
ACO1,715,1.343e-05,8.0,0.8837,0.8837,0.8564,1.0,0.5299
ACO2,1036,2.50619e-05,69.0,0.8314,0.8314,0.8389,1.0,0.3952
ACP1,4674,0.00532963,70.0,0.2386,0.2386,0.6192,0.9947,0.7219
ACS1,2239,0.000337017,6.0,0.6353,0.6353,0.7476,0.9997,0.5691
ACS2,2329,0.230787,28.0,0.6207,0.6207,0.4177,0.7692,1.1686
ACT1,4775,0.524633,74.0,0.2221,0.2221,0.3751,0.4754,1.2368
ADA2,1762,0.0408991,43.0,0.7131,0.7131,0.5109,0.9591,0.6136
ADD37,2249,0.00939675,43.0,0.6337,0.6337,0.5898,0.9906,1.0793
ADD66,3703,0.0035745,83.0,0.3968,0.3968,0.6394,0.9964,0.3952
ADE1,1930,0.113671,72.0,0.6857,0.6857,0.4555,0.8863,1.1103
ADE13,2945,1.40235,22.0,0.5203,0.5203,0.3265,0,1.1972
ADE16,3684,5.55132,83.0,0.3999,0.3999,0.2645,0,0.5007
ADE17,1676,0.0125482,20.0,0.7271,0.7271,0.5745,0.9875,0.5083
ADE2,1657,0.000171899,95.0,0.7302,0.7302,0.7741,0.9998,0.5675
ADE3,3411,0.0594841,33.0,0.4444,0.4444,0.4906,0.9405,1.0125
ADE4,2398,0.0572349,56.0,0.6094,0.6094,0.4927,0.9428,0.7446
ADE5_7,4519,11.2629,54.0,0.2638,0.2638,0.2357,0,0.5975
ADE6,2981,0.0258422,81.0,0.5144,0.5144,0.5358,0.9742,1.1972
ADE8,1371,0.00794809,73.0,0.7768,0.7768,0.5985,0.9921,0.6144
ADH1,4706,0.647374,88.0,0.2333,0.2333,0.3645,0.3526,0.5426
ADH3,2773,1.7304,8.0,0.5483,0.5483,0.3166,0,0.565
ADH4,3720,56.7017,57.0,0.394,0.394,0.1784,0,0.8544
ADH5,1860,0.00160275,28.0,0.6971,0.6971,0.6785,0.9984,2.0567
ADH6,2755,0.0282745,8.0,0.5512,0.5512,0.5309,0.9717,0.5125
ADI1,722,8.23593e-08,73.0,0.8825,0.8825,0.9474,1.0,0.8314
ADR1,3778,76.7381,70.0,0.3846,0.3846,0.169,0,0.5856
ADY3,3381,0.0212756,0.0,0.4492,0.4492,0.5463,0.9787,0.8651
ADY4,2928,5.7878,64.0,0.5231,0.5231,0.2627,0,0.81
AEP3,3256,0.000296588,85.0,0.4696,0.4696,0.7528,0.9997,0.9286
AFG1,4745,8.95482,79.0,0.227,0.227,0.2448,0,0.5125
AFG2,1579,0.0120941,72.0,0.7429,0.7429,0.5764,0.9879,0.8866
AFG3,4667,6.65017,17.0,0.2397,0.2397,0.2569,0,1.2714
AFR1,574,0.000195027,96.0,0.9066,0.9066,0.7693,0.9998,0.9104
AFT1,6083,124.499,66.0,0.009,0.009,0.1547,0,0.9192
AFT2,3192,7.5204e-05,76.0,0.48,0.48,0.804,0.9999,0.5125
AGA1,588,1.0654e-12,99.0,0.9044,0.9044,0.9952,1.0,0.5636
AGA2,584,6.15197e-12,96.0,0.905,0.905,0.993,1.0,0.8222
AGP1,1690,0.00378842,59.0,0.7248,0.7248,0.6365,0.9962,0.5669
AHA1,2020,0.00135726,83.0,0.671,0.671,0.6864,0.9986,0.4605
AHC1,453,2.03962e-05,71.0,0.9263,0.9263,0.8448,1.0,0.9443
AHC2,700,6.35912e-05,79.0,0.8861,0.8861,0.8097,0.9999,0.795
AHP1,1545,7.31286e-07,14.0,0.7484,0.7484,0.9181,1.0,0.5819
AIF1,1595,1.04295e-08,87.0,0.7403,0.7403,0.9658,1.0,0.5125
AIM10,4798,0.507256,80.0,0.2183,0.2183,0.3768,0.4927,1.0793
AIM11,2271,0.0526045,17.0,0.6301,0.6301,0.4972,0.9474,1.2109
AIM13,2474,1.35622,79.0,0.597,0.597,0.3281,0,0.8651
AIM17,488,9.33755e-05,99.0,0.9206,0.9206,0.7965,0.9999,0.5745
AIM18,6130,445.052,88.0,0.0013,0.0013,0.1219,0,1.0793
AIM19,5892,319.384,75.0,0.0401,0.0401,0.1298,0,1.4361
AIM2,2413,0.207647,10.0,0.607,0.607,0.4233,0.7924,1.2714
