tf,tf_mean_rpm,tf_mean_molecules_per_cell,n_timepoints_available,n_timepoints_total
ABF1,71.070357,4.264221,22,22
ACA1,19.164051,1.149843,20,22
ACE2,52.989857,3.179391,22,22
ADR1,20.152365,1.209142,21,22
AFT1,78.628149,4.717689,22,22
AFT2,16.83962,1.010377,19,22
ARG81,63.88685,3.833211,22,22
ARO80,30.266392,1.815984,22,22
ARR1,28.002991,1.680179,22,22
ASH1,128.305467,7.698328,22,22
BAS1,38.052123,2.283127,22,22
CAD1,30.437029,1.826222,22,22
CBF1,18.226555,1.093593,18,22
CHA4,55.802813,3.348169,22,22
CIN5,24.373396,1.462404,21,22
CRZ1,49.507101,2.970426,22,22
CST6,55.435704,3.326142,22,22
DAL81,38.656169,2.31937,22,22
DAL82,24.732272,1.483936,22,22
DIG1,40.211504,2.41269,22,22
ECM22,51.065626,3.063938,22,22
FHL1,26.958814,1.617529,22,22
FKH1,35.511955,2.130717,21,22
FKH2,61.018934,3.661136,22,22
FLO8,27.018013,1.621081,22,22
GAT1,36.545594,2.192736,22,22
GCN4,1045.9493,62.756958,22,22
GCR1,69.653035,4.179182,22,22
GCR2,78.080112,4.684807,22,22
GLN3,24.13149,1.447889,22,22
GZF3,27.681373,1.660882,22,22
HAC1,901.95452,54.117271,22,22
HAP1,21.402433,1.284146,21,22
HAP2,18.957965,1.137478,20,22
HAP3,42.294617,2.537677,22,22
HAP5,22.335488,1.340129,22,22
HCM1,58.738345,3.524301,22,22
HIR1,49.397237,2.963834,22,22
HIR2,29.562196,1.773732,22,22
HMO1,218.043661,13.08262,22,22
HOT1,52.003367,3.120202,22,22
HSF1,89.299771,5.357986,22,22
IFH1,39.350627,2.361038,22,22
INO4,52.103471,3.126208,22,22
IXR1,26.239279,1.574357,22,22
LEU3,35.500627,2.130038,22,22
MAC1,20.969162,1.25815,22,22
MAL33,19.590981,1.175459,21,22
MBP1,83.777657,5.026659,22,22
MCM1,42.738492,2.56431,22,22
MET28,45.06894,2.704136,22,22
MET31,48.352857,2.901171,22,22
MET32,33.996222,2.039773,22,22
MET4,46.97375,2.818425,22,22
MIG1,20.798387,1.247903,21,22
MIG2,47.611984,2.856719,22,22
MOT3,58.041816,3.482509,22,22
MSN1,21.052381,1.263143,22,22
MSN2,26.444537,1.586672,22,22
MSS11,22.759867,1.365592,22,22
NRG1,26.303652,1.578219,22,22
OAF1,27.013774,1.620826,22,22
OAF3,33.0692,1.984152,22,22
OPI1,106.026062,6.361564,22,22
OTU1,24.479582,1.468775,22,22
PDC2,25.025673,1.50154,22,22
PDR1,62.377816,3.742669,22,22
PDR3,19.226729,1.153604,20,22
PHD1,41.088268,2.465296,22,22
PHO2,19.803698,1.188222,21,22
PHO4,28.115023,1.686901,22,22
PUT3,37.791871,2.267512,22,22
RAP1,64.069725,3.844183,22,22
RDS2,21.796337,1.30778,22,22
REB1,51.311449,3.078687,22,22
RFX1,16.166272,0.969976,18,22
RGT1,64.385222,3.863113,22,22
RIM101,70.840878,4.250453,22,22
RLM1,25.512117,1.530727,21,22
ROX1,25.521523,1.531291,22,22
RPH1,24.406613,1.464397,22,22
RPN4,68.528665,4.11172,22,22
RTG3,19.404967,1.164298,19,22
SFP1,20.251382,1.215083,21,22
SKN7,33.532835,2.01197,22,22
SKO1,32.624491,1.957469,22,22
SOK2,49.203884,2.952233,22,22
SPT23,35.24654,2.114792,22,22
STB1,39.732012,2.383921,21,22
STB5,16.730784,1.003847,20,22
STE12,43.296328,2.59778,22,22
STP1,45.298246,2.717895,22,22
STP2,53.738702,3.224322,22,22
SUM1,102.121189,6.127271,22,22
SWI4,36.836846,2.210211,20,22
SWI5,30.336095,1.820166,18,22
SWI6,55.319467,3.319168,22,22
TEC1,43.645753,2.618745,22,22
TUP1,71.153712,4.269223,22,22
TYE7,37.351954,2.241117,22,22
UGA3,36.987323,2.219239,22,22
UME6,43.210319,2.592619,22,22
YAP1,138.114876,8.286893,22,22
YAP3,27.560389,1.653623,22,22
YAP6,19.592324,1.175539,21,22
YHP1,35.991064,2.159464,21,22
YOX1,66.311875,3.978712,22,22
YRM1,39.299804,2.357988,22,22
YRR1,25.141219,1.508473,22,22
ZAP1,19.963813,1.197829,20,22
